observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE04125itkfi,2810075,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,140,,"89,3",,8,,"63,2",,1,
CF04052itkfi,2810078,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,1,,135,,"109,8",,8,,"77,8",,1,
RE04098itkfi,2810088,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,141,,"92,7",,8,,"65,6",,1,
RE04097itkfi,2810092,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,141,,103,,6,,73,,1,
EM03264itkfi,2810086,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49705,gnpis_pui:holding-921_taxon-4898_accession-49705,EM03264,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,4,,141,,"107,1",,3,,"75,9",,1,
CF04114itkfi,2810080,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,135,,"83,6",,8,,"59,2",,3,
CF04164itkfi,2810089,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,133,,"59,1",,9,,"41,9",,1,
DI05029itkfi,2810100,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49554,gnpis_pui:holding-921_taxon-4898_accession-49554,DI05029,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,140,,"100,5",,6,,"71,2",,1,
CF04101itkfi,2810099,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,1,,129,,"117,4",,8,,"83,2",,1,
Chargeritkfi,2810098,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,140,,99,,6,,"70,2",,1,
EM03234itkfi,2810103,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,142,,"117,7",,2,,"83,4",,1,
RE04124itkfi,2810076,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,1,,139,,"101,6",,6,,72,,1,
Caphornitkfi,2810096,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,134,,"114,6",,8,,"81,2",,1,
DI05022itkfi,2810106,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,139,,"121,3",,4,,86,,1,
DI05026itkfi,2810110,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,136,,109,,2,,"77,2",,1,
DI05027itkfi,2810109,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,136,,"117,5",,3,,"83,3",,1,
RE04082itkfi,2810111,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,136,,"111,7",,3,,"79,1",,1,
Farandoleitkfi,2810097,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,134,,"111,6",,4,,"79,1",,1,
RE04096itkfi,2810093,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,141,,"91,2",,4,,"64,6",,1,
CF04159itkfi,2810094,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,136,,"93,1",,8,,"65,9",,1,
RE04108itkfi,2810079,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48339,gnpis_pui:holding-921_taxon-4898_accession-48339,RE04108,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,137,,"97,4",,3,,69,,1,
RE04101itkfi,2810081,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,127,,"117,2",,8,,83,,1,
DI05024itkfi,2810108,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,49558,gnpis_pui:holding-921_taxon-4898_accession-49558,DI05024,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,1,,136,,"91,3",,2,,"64,7",,1,
EM03271itkfi,2810105,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,1,,140,,"106,7",,3,,"75,6",,1,
EM03204itkfi,2810084,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48628,gnpis_pui:holding-921_taxon-4898_accession-48628,EM03204,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,1,,142,,"99,7",,6,,"70,6",,1,
DI05028itkfi,2810101,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,48436,gnpis_pui:holding-921_taxon-4898_accession-48436,DI05028,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,1,,140,,92,,3,,"65,2",,1,
Orvantisitkfi,2810102,BTH_Rennes_2005_SetB3,BTH_Rennes_2005_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,100,,1,,130,,"92,6",,4,,"65,6",,1,
