observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI00010itkt,2770230,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,148,,"103,3",,,,125,,,,,,1,
CF00189itknt,2770197,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"113,9",,1,,"97,1",,1,,1,,,
EM00302itknt,2770211,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,108,,1,,92,,1,,1,,,
CF00189itkt,2770198,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,147,,"102,9",,,,"124,5",,,,,,1,
RE00014itkt,2770236,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,149,,"91,3",,,,"110,4",,,,,,1,
CF00191itkt,2770228,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,149,,"104,5",,,,"126,5",,,,,,1,
RE00014itknt,2770235,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"94,8",,1,,"80,8",,6,,1,,,
EM00002itknt,2770185,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"111,1",,1,,"94,7",,1,,1,,,
EM00302itkt,2770212,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26864,https://doi.org/10.15454/XVZVZD,EM00302,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,151,,"96,7",,,,117,,,,,,1,
EM00002itkt,2770186,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,145,,94,,,,"113,7",,,,,,2,
CF00191itknt,2770227,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,111,,1,,"94,6",,6,,1,,,
Chargeritkt,2770214,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,150,,"100,9",,,,"122,1",,,,,,1,
Chargeritknt,2770213,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"106,4",,6,,"90,7",,1,,1,,,
RE00010itkt,2770202,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,151,,"98,1",,,,"118,7",,,,,,1,
RE00008itkt,2770208,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,150,,"92,5",,,,112,,,,,,1,
EM00006itkt,2770184,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,152,,"88,3",,,,"106,9",,,,,,1,
DI00024itkt,2770190,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,147,,"102,6",,,,"124,1",,,,,,1,
DI00024itknt,2770189,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"121,6",,1,,"103,7",,1,,1,,,
RE00010itknt,2770201,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"104,8",,1,,"89,3",,1,,1,,,
EM00015itknt,2770223,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"109,2",,1,,"93,1",,1,,1,,,
Tremieitkt,2770222,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,142,,"95,9",,,,116,,,,,,3,
Tremieitknt,2770221,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"101,3",,1,,"86,3",,5,,1,,,
EM00301itknt,2770215,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,48481,gnpis_pui:holding-921_taxon-4898_accession-48481,EM00301,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"114,5",,1,,"97,5",,1,,1,,,
EM00006itknt,2770183,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"102,7",,1,,"87,5",,1,,1,,,
DI00008itkt,2770196,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,147,,96,,,,"116,1",,,,,,1,
Oratorioitkt,2770200,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,145,,"88,2",,,,"106,7",,,,,,1,
RE00009itkt,2770210,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,147,,"89,4",,,,"108,2",,,,,,1,
DI00008itknt,2770195,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"107,4",,1,,"91,5",,5,,8,,,
EM00015itkt,2770224,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,153,,"95,6",,,,"115,7",,,,,,1,
EM00018itkt,2770218,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,150,,"98,6",,,,"119,3",,,,,,1,
EM00018itknt,2770217,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"109,2",,1,,"93,1",,8,,1,,,
Soissonsitknt,2770233,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"86,9",,8,,"74,1",,1,,8,,,
Soissonsitkt,2770234,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,142,,"94,5",,,,"114,3",,,,,,1,
Isengrainitkt,2770226,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,143,,"108,7",,,,"131,6",,,,,,1,
RE00009itknt,2770209,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"100,7",,1,,"85,8",,6,,8,,,
EM00019itkt,2770220,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,150,,"98,7",,,,"119,4",,,,,,1,
Isengrainitknt,2770225,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"105,4",,1,,"89,8",,7,,1,,,
EM00019itknt,2770219,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"87,3",,1,,"74,4",,7,,1,,,
EM00020itknt,2770191,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2001,1,,,,"121,9",,1,,"103,9",,1,,1,,,
EM00020itkt,2770192,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,,,150,,"97,8",,,,"118,3",,,,,,1,
