observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Gorecki,2826517,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,8,
CF06250,2826520,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49022,gnpis_pui:holding-921_taxon-4898_accession-49022,CF06250,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
CF06210,2826526,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27785,https://doi.org/10.15454/BZGBHW,CF06210,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,3,
CF06294,2826524,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48834,gnpis_pui:holding-921_taxon-4898_accession-48834,CF06294,VIRTUAL_TRIAL,,,,,,,,2007,6,,7,,NA,
DI07017,2826506,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49010,gnpis_pui:holding-921_taxon-4898_accession-49010,DI07017,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
EM06233,2826531,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
EM06229,2826501,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
RE06097,2826488,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27832,https://doi.org/10.15454/X0FSJ6,RE06097,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
RE06130,2826494,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,27833,https://doi.org/10.15454/QCSBFW,RE06130,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,1,
CF06225,2826499,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49095,gnpis_pui:holding-921_taxon-4898_accession-49095,CF06225,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
EM06195,2826522,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48434,gnpis_pui:holding-921_taxon-4898_accession-48434,EM06195,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
DI07020,2826491,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48780,gnpis_pui:holding-921_taxon-4898_accession-48780,DI07020,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,2,
EM06305,2826495,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49088,gnpis_pui:holding-921_taxon-4898_accession-49088,EM06305,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,3,
DI07018,2826512,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49701,gnpis_pui:holding-921_taxon-4898_accession-49701,DI07018,VIRTUAL_TRIAL,,,,,,,,2007,4,,1,,1,
RE06119,2826511,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,49704,gnpis_pui:holding-921_taxon-4898_accession-49704,RE06119,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
RE06106,2826521,BTH_Rennes_2007_SetB3_PIETIN-VERSE,BTH_Rennes_2007_SetB3_PIETIN-VERSE,48380,gnpis_pui:holding-921_taxon-4898_accession-48380,RE06106,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
