observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Isengrainitkt,2792774,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"99,4",,"105,8",,2,,1,
RE02080itkt,2792750,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26100,https://doi.org/10.15454/AM3GAN,RE02080,VIRTUAL_TRIAL,,,,,,,,treated,2004,3,,"107,8",,"114,7",,2,,1,
EM01214itkt,2792761,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2004,8,,93,,"99,1",,3,,1,
EM00107itkt,2792751,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2004,5,,"105,4",,"112,2",,1,,1,
CF00193itkt,2792776,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"101,9",,"108,5",,3,,1,
Caphornitkt,2792762,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"97,7",,104,,2,,1,
Farandoleitkt,2792763,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"98,3",,"104,6",,2,,1,
EM99017itkt,2792780,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2004,8,,"92,8",,"98,8",,4,,3,
RE01015itkt,2792747,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2004,7,,"97,6",,"103,9",,4,,1,
Oratorioitkt,2792770,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"98,2",,"104,5",,4,,1,
EM01271itkt,2792755,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2004,6,,"92,2",,"98,2",,3,,1,
EM01023itkt,2792768,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2004,3,,"98,3",,"104,6",,4,,2,
Stru991490.1itkt,2792754,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,49470,gnpis_pui:holding-921_taxon-4898_accession-49470,Stru991490.1,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"106,6",,"113,5",,2,,1,
Skerzzoitkt,2792775,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"96,9",,"103,2",,4,,1,
EM99006itkt,2792759,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"93,6",,"99,7",,3,,1,
Orvantisitkt,2792773,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,106,,"112,9",,4,,1,
Stru991495.3itkt,2792779,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,48723,gnpis_pui:holding-921_taxon-4898_accession-48723,Stru991495.3,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"99,4",,"105,8",,1,,2,
DI02001itkt,2792748,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2004,4,,"99,4",,"105,8",,4,,2,
Rytmicitkt,2792760,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2004,1,,"98,1",,"104,4",,4,,1,
DI02006itkt,2792749,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2004,5,,"97,3",,"103,6",,4,,1,
Chargeritkt,2792765,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"104,8",,"111,6",,2,,1,
RE02162itkt,2792777,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,26101,https://doi.org/10.15454/FFIEB9,RE02162,VIRTUAL_TRIAL,,,,,,,,treated,2004,5,,"92,2",,"98,2",,2,,1,
DI01022itkt,2792758,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2004,5,,"104,8",,"111,6",,4,,1,
Croustyitkt,2792769,BTH_Champagne-céréales_2004_SetA1,BTH_Champagne-céréales_2004_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2004,2,,"94,5",,"100,6",,4,,2,
