observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2828869,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"119,61",,,,,,3,
2,2828867,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"90,7",,1,,3,,3,
2,2828825,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"90,82",,,,,,6,
1,2828824,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"100,58",,,,,,4,
2,2828823,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"75,42",,"4,5",,1,,2,
1,2828822,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"70,63",,2,,2,,1,
2,2828805,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"117,9",,,,,,1,
2,2828803,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"78,21",,1,,5,,"1,5",
1,2828802,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"75,71",,1,,"3,5",,"1,5",
1,2828804,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"112,05",,,,,,1,
2,2828781,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"108,66",,,,,,"4,5",
1,2828780,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"97,71",,,,,,"4,5",
2,2828779,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"72,83",,3,,2,,"7,5",
1,2828778,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"62,62",,"2,5",,1,,"6,5",
2,2828877,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"110,75",,,,,,6,
1,2828874,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"76,41",,"1,5",,1,,7,
1,2828876,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"100,24",,,,,,"4,5",
2,2828875,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"89,85",,2,,"1,5",,9,
2,2828827,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"90,73",,"2,5",,2,,3,
2,2828829,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"110,03",,,,,,"5,5",
1,2828826,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"84,15",,2,,2,,"2,5",
1,2828828,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"99,62",,,,,,6,
2,2828839,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"80,5",,1,,"1,5",,9,
2,2828841,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"92,12",,,,,,"7,5",
1,2828840,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"95,33",,,,,,"7,5",
1,2828838,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"74,14",,1,,"1,5",,8,
2,2828741,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"115,51",,,,,,1,
1,2828740,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"107,09",,,,,,1,
2,2828739,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"96,41",,1,,"1,5",,1,
1,2828738,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"93,19",,1,,"1,5",,1,
2,2828757,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"102,56",,,,,,"4,5",
2,2828755,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"77,71",,1,,3,,3,
1,2828754,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"77,73",,1,,"2,5",,"3,5",
1,2828756,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"103,43",,,,,,3,
2,2828873,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"103,97",,,,,,4,
1,2828870,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"69,64",,1,,4,,6,
1,2828872,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"104,19",,,,,,5,
2,2828871,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"66,84",,1,,"6,5",,"6,5",
2,2828795,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"63,93",,1,,4,,"3,5",
2,2828797,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"117,91",,,,,,2,
1,2828796,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"107,76",,,,,,1,
1,2828794,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"80,68",,1,,3,,3,
1,2828842,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"73,84",,3,,3,,"1,5",
1,2828844,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"113,25",,,,,,3,
2,2828843,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"63,31",,"5,5",,4,,5,
2,2828845,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"108,57",,,,,,"3,5",
1,2828784,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"114,45",,,,,,1,
2,2828785,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"109,82",,,,,,"1,5",
2,2828783,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"86,58",,"1,5",,"3,5",,"1,5",
1,2828782,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"95,76",,1,,2,,"1,5",
1,2828892,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"103,4",,,,,,3,
2,2828891,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"90,66",,1,,"3,5",,2,
1,2828890,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"79,23",,1,,3,,2,
2,2828893,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"108,19",,,,,,5,
1,2828788,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"106,93",,,,,,"8,5",
2,2828789,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"92,65",,,,,,"7,5",
2,2828787,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,84,,1,,"2,5",,"5,5",
1,2828786,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"93,19",,1,,1,,"3,5",
1,2828830,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"80,86",,1,,2,,"3,5",
1,2828832,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"96,12",,,,,,4,
2,2828833,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"113,24",,,,,,"4,5",
2,2828885,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"108,62",,,,,,1,
1,2828884,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"105,14",,,,,,1,
1,2828770,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"97,47",,"2,5",,"1,5",,"4,5",
1,2828772,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"103,68",,,,,,7,
2,2828771,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"86,96",,"3,5",,"1,5",,4,
2,2828773,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"102,66",,,,,,6,
2,2828727,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"95,68",,"1,5",,"1,5",,"4,5",
2,2828729,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"107,54",,,,,,"6,5",
1,2828728,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"106,37",,,,,,4,
1,2828726,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"80,18",,1,,"1,5",,"2,5",
1,2828806,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"86,94",,1,,2,,"7,5",
2,2828809,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"101,97",,,,,,7,
1,2828808,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"94,5",,,,,,9,
2,2828807,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"77,42",,2,,2,,9,
2,2828859,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"67,58",,"5,5",,1,,8,
1,2828858,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"55,37",,4,,2,,"6,5",
2,2828861,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"107,38",,,,,,6,
1,2828860,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"104,2",,,,,,6,
2,2828853,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"111,79",,,,,,1,
2,2828851,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"85,75",,1,,"1,5",,1,
1,2828852,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"118,04",,,,,,1,
1,2828850,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"96,36",,1,,1,,1,
1,2828888,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"92,25",,,,,,8,
2,2828889,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"102,46",,,,,,7,
2,2828887,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"81,9",,3,,"2,5",,"7,5",
1,2828886,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2008,"75,5",,"1,5",,"1,5",,7,
2,2828849,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"112,34",,,,,,"2,5",
2,2828847,BTH_Orgeval_2008_SetA1,BTH_Orgeval_2008_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2008,"93,29",,1,,2,,1,
