observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE99007itkfi,2763828,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26014,https://doi.org/10.15454/B7I9IU,RE99007,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,96,,3,,140,,12,,"80,5",,1,,"45,1",,1,,,,1,
RE99017itkfi,2763891,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"98,5",,2,,141,,"9,8",,"154,9",,1,,"86,8",,4,,,,1,
RE99007itknt,2763829,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26014,https://doi.org/10.15454/B7I9IU,RE99007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"92,5",,1,,141,,,,"82,1",,2,,"43,3",,1,,9,,1,
RE9819itkfi,2763795,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,89,,2,,137,,"10,5",,"135,1",,4,,"75,6",,2,,,,1,
Ressoritknt,2763856,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"87,5",,2,,141,,,,"100,2",,1,,"52,9",,5,,4,,3,
HA1541.134itknt,2763859,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48807,gnpis_pui:holding-921_taxon-4898_accession-48807,HA1541.134,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,95,,3,,144,,,,"131,1",,3,,"69,2",,7,,4,,1,
RE9819itkt,2763797,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2000,85,,1,,139,,"10,4",,"100,3",,1,,"98,3",,1,,3,,1,
RE99014itkt,2763899,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26873,https://doi.org/10.15454/NVM4UC,RE99014,VIRTUAL_TRIAL,,,,,,,,treated,2000,90,,2,,147,,"10,4",,"99,7",,1,,"97,8",,3,,3,,1,
RE99014itknt,2763898,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26873,https://doi.org/10.15454/NVM4UC,RE99014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"92,5",,3,,147,,,,"131,5",,1,,"69,4",,8,,4,,"1,5",
HA1541.134itkt,2763860,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48807,gnpis_pui:holding-921_taxon-4898_accession-48807,HA1541.134,VIRTUAL_TRIAL,,,,,,,,treated,2000,"95,5",,1,,144,,"10,4",,"107,8",,"1,5",,"105,7",,3,,2,,"2,5",
HA1541.134itkfi,2763858,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,48807,gnpis_pui:holding-921_taxon-4898_accession-48807,HA1541.134,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"93,5",,1,,141,,"9,7",,120,,4,,"67,2",,6,,,,"1,5",
Soissonsitkfi,2763894,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,85,,3,,132,,"9,9",,"91,7",,9,,"51,3",,1,,,,2,
RE9819itknt,2763796,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,85,,2,,139,,,,"160,9",,2,,"84,9",,1,,7,,1,
RE99014itkfi,2763897,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,26873,https://doi.org/10.15454/NVM4UC,RE99014,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"92,5",,2,,144,,"9,8",,"110,3",,1,,"61,8",,6,,,,"1,5",
AO00001itkt,2763887,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28760,https://doi.org/10.15454/8LYCUU,AO00001,VIRTUAL_TRIAL,,,,,,,,treated,2000,104,,1,,148,,"10,5",,90,,"1,5",,"88,3",,1,,2,,3,
AO00001itkfi,2763885,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28760,https://doi.org/10.15454/8LYCUU,AO00001,VIRTUAL_TRIAL,,,,,,,,low inputs,2000,"107,5",,1,,143,,"10,9",,"89,9",,2,,"50,3",,6,,,,1,
Soissonsitkt,2763896,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2000,80,,2,,133,,"9,6",,"104,2",,6,,"102,1",,1,,2,,"2,5",
RE99003itknt,2763853,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,85,,2,,140,,,,"161,8",,1,,"85,5",,3,,2,,1,
CF99007itknt,2763871,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28758,https://doi.org/10.15454/XSWWAH,CF99007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,80,,4,,134,,,,"59,6",,4,,"31,4",,8,,3,,"1,5",
AO00001itknt,2763886,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,28760,https://doi.org/10.15454/8LYCUU,AO00001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2000,"103,5",,4,,148,,,,"106,4",,3,,"56,2",,7,,5,,"1,5",
