observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date
DI06012itkt,2816009,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49037,gnpis_pui:holding-921_taxon-4898_accession-49037,DI06012,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,146,,"72,4",
Farandoleitkt,2816017,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,141,,"73,3",
DI06015itkt,2816010,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49503,gnpis_pui:holding-921_taxon-4898_accession-49503,DI06015,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,145,,"75,7",
RE05011itkt,2816022,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,143,,"72,4",
DI06014itkt,2816011,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49534,https://doi.org/10.15454/1WVZPY,DI06014,VIRTUAL_TRIAL,,,,,,,,treated,2006,87,,145,,"76,4",
AO05003itkt,2816029,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,139,,"75,2",
RE05008itkt,2815996,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49422,https://doi.org/10.15454/9VMAGV,RE05008,VIRTUAL_TRIAL,,,,,,,,treated,2006,83,,144,,"68,8",
RE05016itkt,2816023,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,treated,2006,89,,146,,"73,4",
Chargeritkt,2816021,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,76,,143,,72,
CF05031itkt,2816028,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49286,gnpis_pui:holding-921_taxon-4898_accession-49286,CF05031,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,143,,"77,7",
RE05039itkt,2816012,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,142,,"66,1",
CF05089itkt,2815998,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49702,gnpis_pui:holding-921_taxon-4898_accession-49702,CF05089,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,144,,"77,8",
Caphornitkt,2816016,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,84,,143,,"77,2",
DI06016itkt,2816033,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49166,gnpis_pui:holding-921_taxon-4898_accession-49166,DI06016,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,142,,"74,3",
EM05274itkt,2816025,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48852,gnpis_pui:holding-921_taxon-4898_accession-48852,EM05274,VIRTUAL_TRIAL,,,,,,,,treated,2006,86,,142,,"73,9",
DI06008itkt,2816031,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49044,gnpis_pui:holding-921_taxon-4898_accession-49044,DI06008,VIRTUAL_TRIAL,,,,,,,,treated,2006,76,,146,,"75,1",
RE05065itkt,2815999,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,49606,gnpis_pui:holding-921_taxon-4898_accession-49606,RE05065,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,144,,"74,6",
RE05079itkt,2816024,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48975,https://doi.org/10.15454/JTGRMP,RE05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,141,,"69,1",
RE05005itkt,2815997,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,143,,"75,2",
EM05256itkt,2815995,BTH_Dijon_2006_SetB2,BTH_Dijon_2006_SetB2,48632,gnpis_pui:holding-921_taxon-4898_accession-48632,EM05256,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,146,,"75,5",
