observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Apacheitkt,2792295,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,128,,"105,7",,"109,9",,2,
EM02201itkt,2792318,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49650,gnpis_pui:holding-921_taxon-4898_accession-49650,EM02201,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,138,,"91,6",,"95,3",,1,
CF00057itkt,2792311,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48910,gnpis_pui:holding-921_taxon-4898_accession-48910,CF00057,VIRTUAL_TRIAL,,,,,,,,treated,2003,70,,138,,"81,9",,"85,2",,1,
DI03020itkt,2792299,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49580,gnpis_pui:holding-921_taxon-4898_accession-49580,DI03020,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,128,,"83,4",,"86,7",,1,
EM02157itkt,2792316,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48826,gnpis_pui:holding-921_taxon-4898_accession-48826,EM02157,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,138,,"89,1",,"92,7",,1,
CF01185itkt,2792312,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,140,,"100,4",,"104,4",,1,
Chargeritkt,2792303,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,76,,138,,"99,3",,"103,3",,1,
CF02170itkt,2792293,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26421,https://doi.org/10.15454/LV5TNC,CF02170,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,139,,"89,7",,"93,3",,1,
CF02252itkt,2792306,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26422,https://doi.org/10.15454/9B1QCJ,CF02252,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,139,,"84,4",,"87,8",,2,
CF02266itkt,2792280,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26423,https://doi.org/10.15454/ETPIWK,CF02266,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,139,,"92,5",,"96,2",,1,
CF02283itkt,2792320,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26424,https://doi.org/10.15454/EQGEJX,CF02283,VIRTUAL_TRIAL,,,,,,,,treated,2003,79,,141,,"93,5",,"97,3",,2,
EM02209itkt,2792310,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26414,https://doi.org/10.15454/CCL96G,EM02209,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,136,,93,,"96,8",,1,
DI03022itkt,2792297,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48686,gnpis_pui:holding-921_taxon-4898_accession-48686,DI03022,VIRTUAL_TRIAL,,,,,,,,treated,2003,75,,140,,"80,6",,"83,8",,2,
RE02181itkt,2792313,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48933,gnpis_pui:holding-921_taxon-4898_accession-48933,RE02181,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,140,,"96,2",,"100,1",,2,
RE01047itkt,2792304,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26097,https://doi.org/10.15454/3W80FR,RE01047,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,142,,"92,4",,"96,1",,1,
Soissonsitkt,2792319,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,125,,"91,6",,"95,2",,2,
Isengrainitkt,2792314,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,126,,"103,5",,"107,6",,2,
EM02207itkt,2792305,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,139,,"90,4",,94,,1,
RE02086itkt,2792283,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48538,gnpis_pui:holding-921_taxon-4898_accession-48538,RE02086,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,138,,"73,5",,"76,4",,1,
RE02178itkt,2792287,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48965,gnpis_pui:holding-921_taxon-4898_accession-48965,RE02178,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,143,,91,,"94,6",,1,
RE02016itkt,2792302,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48408,gnpis_pui:holding-921_taxon-4898_accession-48408,RE02016,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,141,,"94,2",,98,,1,
RE02009itkt,2792292,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49410,gnpis_pui:holding-921_taxon-4898_accession-49410,RE02009,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,133,,"92,2",,"95,9",,2,
DI03021itkt,2792298,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48883,gnpis_pui:holding-921_taxon-4898_accession-48883,DI03021,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,134,,"90,4",,"94,1",,1,
DI03026itkt,2792300,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49227,gnpis_pui:holding-921_taxon-4898_accession-49227,DI03026,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,138,,"88,5",,"92,1",,1,
RE01052itkt,2792278,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49145,gnpis_pui:holding-921_taxon-4898_accession-49145,RE01052,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,140,,"86,1",,"89,6",,1,
EM02196itkt,2792286,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48648,gnpis_pui:holding-921_taxon-4898_accession-48648,EM02196,VIRTUAL_TRIAL,,,,,,,,treated,2003,81,,137,,"97,2",,"101,1",,1,
CF02242itkt,2792289,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,48850,gnpis_pui:holding-921_taxon-4898_accession-48850,CF02242,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,141,,"90,7",,"94,3",,1,
DI03025itkt,2792301,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49549,gnpis_pui:holding-921_taxon-4898_accession-49549,DI03025,VIRTUAL_TRIAL,,,,,,,,treated,2003,87,,133,,"86,5",,90,,1,
DI03023itkt,2792296,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49559,gnpis_pui:holding-921_taxon-4898_accession-49559,DI03023,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,138,,"81,9",,"85,2",,1,
EM02159itkt,2792290,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49689,gnpis_pui:holding-921_taxon-4898_accession-49689,EM02159,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,141,,"96,4",,"100,3",,1,
CF02040itkt,2792279,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,49157,gnpis_pui:holding-921_taxon-4898_accession-49157,CF02040,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,139,,"82,9",,"86,2",,1,
