observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM07186itknt,2832510,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,"104,7",,1,,78,,1,,3,,"6,5",
AO08112itknt,2832534,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,"103,9",,1,,"77,4",,1,,"3,5",,"1,5",
CF07002itknt,2832578,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,95,,,,,,"123,3",,1,,"91,9",,1,,1,,1,
CF07002itkt,2832579,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,141,,"76,8",,"107,6",,,,"119,7",,,,,,1,
DI08005itknt,2832558,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,"95,8",,1,,"71,4",,"1,5",,4,,7,
CF07057itkt,2832545,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,138,,"75,2",,"102,1",,,,"113,6",,,,,,3,
CF07057itknt,2832544,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"92,5",,,,,,"119,6",,1,,"89,2",,1,,3,,"2,5",
RE07005itkt,2832507,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,137,,"72,9",,"99,1",,,,"110,3",,,,,,"1,5",
RE07005itknt,2832506,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,"117,1",,1,,"87,3",,1,,"2,5",,1,
CF07021itkt,2832575,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,144,,"74,2",,"107,4",,,,"119,5",,,,,,"3,5",
RE07002itknt,2832570,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,80,,,,,,"118,2",,1,,"88,1",,1,,3,,4,
DI08003itknt,2832554,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,"109,7",,1,,"81,8",,1,,4,,5,
CF07021itknt,2832574,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"87,5",,,,,,"126,2",,1,,94,,"3,5",,1,,4,
DI08003itkt,2832555,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,140,,"69,2",,"84,6",,,,"94,1",,,,,,"3,5",
AO08107itkt,2832569,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,140,,72,,"101,5",,,,"112,9",,,,,,1,
Sankaraitkt,2832547,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,145,,"72,6",,"102,4",,,,"113,9",,,,,,"1,5",
AO08107itknt,2832568,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,80,,,,,,"96,5",,1,,"71,9",,"3,5",,3,,"4,5",
RE07004itkt,2832525,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,136,,"74,5",,"98,1",,,,"109,2",,,,,,"1,5",
CF07037itkt,2832541,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,141,,73,,"106,4",,,,"118,3",,,,,,"1,5",
DI08002itknt,2832552,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"87,5",,,,,,"79,8",,1,,"59,5",,"5,5",,1,,4,
CF07018itknt,2832542,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"87,5",,,,,,"120,6",,1,,"89,9",,1,,"2,5",,1,
RE07015itknt,2832522,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"67,5",,,,,,"111,2",,1,,"82,9",,1,,3,,1,
DI08002itkt,2832553,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,142,,77,,"83,5",,,,"92,9",,,,,,5,
DI08005itkt,2832559,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,144,,"72,1",,"93,4",,,,"103,9",,,,,,3,
CF07018itkt,2832543,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,146,,"74,7",,"111,6",,,,"124,1",,,,,,"1,5",
RE07017itkt,2832527,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,138,,"74,4",,"91,1",,,,"101,3",,,,,,"6,5",
RE07019itknt,2832528,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"87,5",,,,,,"118,3",,1,,"88,2",,1,,2,,5,
Sankaraitknt,2832546,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,90,,,,,,"113,7",,1,,"84,8",,1,,3,,1,
Toisondoritkt,2832533,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,75,,142,,"72,6",,"106,2",,,,"118,1",,,,,,1,
RE07019itkt,2832529,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,142,,"76,1",,"106,8",,,,"118,8",,,,,,"3,5",
CF07037itknt,2832540,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"97,5",,,,,,"118,5",,1,,"88,3",,1,,"1,5",,"1,5",
RE07017itknt,2832526,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,90,,,,,,"105,5",,1,,"78,6",,1,,2,,"6,5",
Mendelitkt,2832563,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,78,,136,,"70,6",,"98,6",,,,"109,7",,,,,,2,
DI08007itknt,2832512,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,"103,5",,1,,"77,1",,"1,5",,1,,8,
RE07012itknt,2832518,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,"110,1",,1,,"82,1",,1,,"2,5",,"8,5",
Toisondoritknt,2832532,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,80,,,,,,"86,3",,1,,"64,3",,7,,1,,1,
RE07012itkt,2832519,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,140,,"71,4",,"88,7",,,,"98,6",,,,,,6,
RE07015itkt,2832523,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,VIRTUAL_TRIAL,,,,,,,,treated,2008,70,,144,,"70,2",,"97,3",,,,"108,2",,,,,,1,
DI08007itkt,2832513,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,147,,"75,6",,"86,8",,,,"96,6",,,,,,7,
Premioitkt,2832509,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,138,,73,,113,,,,"125,7",,,,,,1,
Premioitknt,2832508,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"82,5",,,,,,"112,4",,1,,"83,8",,1,,5,,"1,5",
RE07011itknt,2832516,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,108,,1,,"80,5",,1,,6,,2,
Mendelitknt,2832562,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"72,5",,,,,,82,,1,,"61,1",,1,,"4,5",,3,
Grapeliitknt,2832530,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,95,,,,,,"157,9",,1,,"117,6",,1,,1,,5,
Grapeliitkt,2832531,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,146,,76,,"115,6",,,,"128,6",,,,,,1,
RE07013itkt,2832521,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,142,,"72,5",,"91,4",,,,"101,7",,,,,,"2,5",
DI08004itkt,2832557,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,147,,"73,2",,"96,5",,,,"107,3",,,,,,1,
RE07013itknt,2832520,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48745,gnpis_pui:holding-921_taxon-4898_accession-48745,RE07013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"82,5",,,,,,"104,7",,1,,78,,1,,3,,4,
Apacheitkt,2832539,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,138,,"75,4",,"100,8",,,,"112,1",,,,,,1,
Apacheitknt,2832538,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,"93,2",,1,,"69,4",,1,,5,,2,
EM07085itkt,2832515,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,139,,"75,5",,"98,2",,,,"109,2",,,,,,1,
CF07022itknt,2832576,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,95,,,,,,"126,7",,1,,"94,4",,1,,1,,"5,5",
EM07118itkt,2832537,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,148,,"74,6",,"97,4",,,,"108,4",,,,,,1,
RE07011itkt,2832517,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,138,,"71,6",,"100,5",,,,"111,7",,,,,,"2,5",
Caphornitkt,2832549,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,138,,"72,2",,"98,2",,,,"109,2",,,,,,2,
EM07118itknt,2832536,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49448,gnpis_pui:holding-921_taxon-4898_accession-49448,EM07118,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"87,5",,,,,,101,,1,,"75,3",,1,,3,,1,
DI08006itknt,2832560,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,90,,,,,,"121,7",,1,,"90,7",,"1,5",,1,,2,
Caphornitknt,2832548,BTH_Orgeval_2008_SetB1,BTH_Orgeval_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,"77,5",,,,,,"111,1",,1,,"82,8",,1,,"4,5",,2,
