observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO07403itkt,2827647,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,141,,"10,54",,"77,6",,"101,4",,85,,8,
Barokitkt,2827635,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,142,,"10,12",,"77,6",,"102,4",,"85,9",,7,
Barokitkfi,2827634,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"11,6",,"79,6",,"105,4",,"74,6",,1,
AO07403itkfi,2827646,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,139,,"12,37",,"79,1",,"108,9",,77,,1,
AO07116itkt,2827709,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,142,,"10,13",,"76,9",,"94,1",,"78,9",,"5,5",
Goreckiitkfi,2827692,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,138,,"12,9",,"77,8",,"95,2",,"67,3",,1,
AO07116itkfi,2827708,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"12,13",,"78,5",,"97,3",,"68,8",,1,
AO07803itkt,2827675,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,treated,2008,99,,142,,"12,49",,"78,8",,91,,"76,3",,"7,5",
AO07311itkfi,2827698,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"11,56",,"81,9",,"98,5",,"69,7",,1,
AO07803itkfi,2827674,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"13,06",,"78,5",,"95,3",,"67,4",,"2,5",
AO07311itkt,2827699,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,140,,"9,8",,"82,2",,"96,8",,"81,2",,5,
RE05039itkfi,2827664,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"12,94",,"77,5",,"104,4",,"73,9",,"2,5",
EM05230itkt,2827711,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,146,,"11,56",,"76,6",,"90,5",,"75,9",,1,
AO07218itkt,2827701,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,140,,"10,87",,79,,"102,2",,"85,7",,6,
EM05230itkfi,2827710,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,144,,"12,62",,76,,"90,2",,"63,8",,1,
CF04043itkt,2827679,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2008,99,,141,,"10,34",,"75,7",,"89,4",,75,,"8,5",
AO07218itkfi,2827700,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"12,71",,"79,3",,107,,"75,7",,"1,5",
CF04043itkfi,2827678,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"12,31",,"77,4",,"109,2",,"77,2",,"3,5",
CF03287itkfi,2827684,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"13,41",,"81,1",,"102,1",,"72,2",,1,
CF05173itkfi,2827696,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"12,76",,"78,7",,"92,4",,"65,3",,1,
RE05039itkt,2827665,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,142,,"10,9",,"74,5",,"92,4",,"77,5",,8,
CF03287itkt,2827685,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,142,,"11,77",,"80,7",,"107,1",,"89,8",,1,
RE05074itkt,2827687,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,141,,"10,9",,"75,4",,"104,1",,"87,3",,"1,5",
CF05173itkt,2827697,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,142,,"10,9",,"78,8",,"99,3",,"83,2",,"1,5",
Soissonsitkt,2827707,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,138,,"11,06",,"79,4",,"98,5",,"82,6",,"1,5",
Hendrixitkt,2827637,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,142,,"11,54",,"80,7",,92,,"77,1",,"5,5",
Hendrixitkfi,2827636,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"13,84",,"83,1",,"106,6",,"75,4",,1,
AO08001itkfi,2827714,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"12,5",,"77,5",,"108,1",,"76,5",,"3,5",
Goreckiitkt,2827693,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,48843,gnpis_pui:holding-921_taxon-4898_accession-48843,Gorecki,VIRTUAL_TRIAL,,,,,,,,treated,2008,84,,140,,"11,72",,78,,107,,"89,8",,"1,5",
AO08001itkt,2827715,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27765,https://doi.org/10.15454/ROTVXP,AO08001,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,142,,"10,66",,"75,6",,"94,9",,"79,6",,8,
Karillonitkt,2827705,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,141,,"9,64",,"77,3",,"102,9",,"86,3",,2,
Karillonitkfi,2827704,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"10,84",,"78,6",,"106,2",,"75,1",,1,
CF05079itkt,2827695,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,141,,"11,37",,"81,1",,"103,8",,87,,3,
Folkloritkt,2827645,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,105,,143,,"10,67",,78,,"107,4",,"90,1",,"3,5",
CF05079itkfi,2827694,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"12,03",,"81,1",,"96,1",,"67,9",,1,
RE05108itkt,2827691,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,treated,2008,91,,142,,"11,18",,"78,4",,"85,6",,"71,8",,7,
Croustyitkfi,2827682,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"12,96",,"79,8",,"96,8",,"68,5",,1,
AO08004itkt,2827717,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,VIRTUAL_TRIAL,,,,,,,,treated,2008,104,,141,,"11,24",,"79,1",,"97,6",,"81,9",,"5,5",
AO07438itkfi,2827688,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"11,91",,"77,5",,"104,1",,"73,6",,1,
Folkloritkfi,2827644,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"12,01",,"77,7",,"111,5",,"78,9",,1,
AO07438itkt,2827689,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,143,,"9,78",,"76,5",,"100,7",,"84,4",,"4,5",
AO07127itkt,2827663,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,140,,"11,13",,77,,"97,6",,"81,8",,1,
Apacheitkt,2827667,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2008,93,,140,,"10,34",,"80,4",,"106,2",,"89,1",,1,
DI05014itkfi,2827652,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"12,14",,"77,4",,"106,8",,"75,5",,1,
Apacheitkfi,2827666,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,138,,"12,6",,"80,5",,"102,7",,"72,6",,1,
DI05014itkt,2827653,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2008,97,,144,,"10,63",,"77,2",,"104,2",,"87,4",,1,
Croustyitkt,2827683,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2008,102,,141,,"11,07",,"78,5",,"102,4",,"85,8",,3,
RE05108itkfi,2827690,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"13,18",,79,,"93,3",,66,,3,
Soissonsitkfi,2827706,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,137,,"12,26",,"80,9",,"96,5",,"68,2",,1,
AO08004itkfi,2827716,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27766,https://doi.org/10.15454/FP9VJX,AO08004,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"12,91",,80,,"105,9",,"74,9",,1,
Sankaraitkt,2827671,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,145,,"11,41",,"76,7",,"94,1",,"78,9",,1,
Caphornitkt,2827673,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,84,,142,,"11,86",,"77,4",,"101,6",,"85,2",,1,
Sankaraitkfi,2827670,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,144,,"12,83",,78,,"99,1",,"70,1",,1,
RE05007itkt,2827643,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2008,84,,142,,"10,4",,"73,7",,"105,9",,"88,8",,1,
RE05007itkfi,2827642,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"11,92",,"74,3",,"101,8",,72,,1,
CF05162itkt,2827655,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,141,,"10,22",,"78,8",,"111,3",,"93,3",,"2,5",
Caphornitkfi,2827672,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"13,22",,"78,7",,"99,2",,"70,2",,1,
DI06007itkt,2827713,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,144,,"11,17",,"77,2",,"97,4",,"81,7",,1,
CF05162itkfi,2827654,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"11,96",,"79,8",,"113,2",,"80,1",,1,
Mendelitkt,2827669,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,84,,140,,"10,87",,"75,9",,"98,1",,"82,2",,"1,5",
Toisondoritkfi,2827638,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"12,44",,"77,6",,"105,6",,"74,7",,1,
RE05005itkfi,2827640,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"11,79",,"75,1",,"100,9",,"71,4",,1,
Toisondoritkt,2827639,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,144,,"10,33",,"76,6",,"95,2",,"79,8",,"1,5",
CF03201itkfi,2827676,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"12,88",,"80,8",,109,,"77,1",,1,
CF03201itkt,2827677,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,140,,"11,67",,79,,"102,6",,86,,7,
AO07102itkt,2827661,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2008,102,,144,,"10,5",,"78,8",,"105,1",,"88,1",,3,
Mendelitkfi,2827668,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,138,,"12,19",,"77,1",,99,,70,,1,
RE05005itkt,2827641,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2008,86,,142,,"10,89",,"74,2",,"99,6",,"83,5",,1,
Flamenkoitkt,2827681,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,140,,"10,12",,"75,7",,"102,6",,86,,2,
AO07102itkfi,2827660,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,142,,"11,57",,"78,4",,"108,8",,77,,"1,5",
AO07127itkfi,2827662,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,140,,"12,99",,"77,6",,"101,3",,"71,7",,1,
AO07210itkt,2827703,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,141,,"10,89",,"75,9",,"99,4",,"83,4",,4,
AO07210itkfi,2827702,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,138,,"12,11",,"76,5",,"103,5",,"73,2",,1,
RE05074itkfi,2827686,BTH_Dijon_2008_SetA1,BTH_Dijon_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,,,141,,"11,81",,76,,"107,9",,"76,3",,1,
