observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE05006itkfi,2818336,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48730,https://doi.org/10.15454/5F0PDE,RE05006,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,1,,146,,"104,1",,2,,"84,6",,1,
DI06017itkfi,2818350,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49500,gnpis_pui:holding-921_taxon-4898_accession-49500,DI06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,4,,142,,"83,7",,3,,"68,1",,6,
EM05312itkfi,2818337,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,138,,"109,6",,4,,"89,1",,1,
RE05106itkfi,2818360,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48516,gnpis_pui:holding-921_taxon-4898_accession-48516,RE05106,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,141,,"100,8",,4,,"81,9",,1,
CF05146itkfi,2818346,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49001,gnpis_pui:holding-921_taxon-4898_accession-49001,CF05146,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,3,,142,,"92,6",,7,,"75,3",,1,
Chargeritkfi,2818356,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,141,,93,,7,,"75,6",,1,
RE05026itkfi,2818335,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48440,gnpis_pui:holding-921_taxon-4898_accession-48440,RE05026,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,6,,142,,"103,9",,2,,"84,4",,1,
DI06018itkfi,2818352,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48473,gnpis_pui:holding-921_taxon-4898_accession-48473,DI06018,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,140,,"86,5",,3,,"70,3",,1,
CF04046itkfi,2818357,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,105,,4,,142,,"105,1",,7,,"85,4",,1,
RE05067itkfi,2818339,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48796,gnpis_pui:holding-921_taxon-4898_accession-48796,RE05067,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,139,,"104,6",,2,,85,,1,
Caphornitkfi,2818353,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,136,,"107,3",,3,,"87,2",,3,
DI06021itkfi,2818371,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48840,gnpis_pui:holding-921_taxon-4898_accession-48840,DI06021,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,1,,141,,"95,2",,3,,"77,4",,1,
EM05347itkfi,2818349,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,6,,142,,"96,9",,4,,"78,8",,1,
CF04214itkfi,2818361,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,4,,140,,81,,6,,"65,8",,1,
DI06025itkfi,2818369,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48801,gnpis_pui:holding-921_taxon-4898_accession-48801,DI06025,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,143,,"100,8",,6,,"81,9",,1,
Farandoleitkfi,2818354,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,3,,138,,"112,6",,3,,"91,5",,1,
RE05082itkfi,2818340,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49436,gnpis_pui:holding-921_taxon-4898_accession-49436,RE05082,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,140,,"104,8",,3,,"85,2",,1,
CF05070itkfi,2818367,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,143,,94,,7,,"76,4",,2,
DI06023itkfi,2818373,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48871,gnpis_pui:holding-921_taxon-4898_accession-48871,DI06023,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,141,,"102,2",,6,,83,,1,
CF05001itkfi,2818345,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,6,,146,,"79,8",,7,,"64,8",,1,
RE05042itkfi,2818344,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48619,gnpis_pui:holding-921_taxon-4898_accession-48619,RE05042,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,1,,143,,"115,9",,3,,"94,2",,1,
CF05138itkfi,2818365,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,3,,143,,"93,5",,6,,76,,1,
RE05075itkfi,2818363,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,6,,139,,"114,5",,2,,93,,1,
Apacheitkfi,2818351,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,100,,4,,136,,"102,2",,5,,83,,1,
RE05036itkfi,2818355,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49717,gnpis_pui:holding-921_taxon-4898_accession-49717,RE05036,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,1,,140,,115,,3,,"93,5",,1,
RE05140itkfi,2818362,BTH_Rennes_2006_SetB3,BTH_Rennes_2006_SetB3,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,1,,146,,"100,3",,3,,"81,5",,2,
