observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Apacheitknt,2788232,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,73,,1,,130,,,,"99,2",,6,,"83,7",,1,,8,
Apacheitkfi,2788231,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,85,,1,,130,,"9,5",,"101,3",,4,,"89,3",,2,,,
RE01015itkt,2788191,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,1,,139,,11,,90,,1,,89,,1,,1,
EM01023itknt,2788259,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,1,,139,,,,"101,5",,4,,"85,7",,4,,7,
EM01023itkfi,2788258,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,95,,1,,137,,"10,4",,"94,5",,4,,"83,3",,3,,,
EM01352itknt,2788235,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,75,,1,,140,,,,"91,6",,2,,"77,3",,1,,7,
Soissonsitkt,2788287,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,1,,128,,"9,9",,"87,5",,1,,"86,5",,1,,3,
EM01352itkfi,2788234,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,85,,1,,135,,"11,2",,"93,2",,1,,"82,1",,2,,,
Apacheitkt,2788233,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,1,,131,,"9,7",,"109,4",,1,,"108,2",,1,,1,
EM01352itkt,2788236,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,1,,140,,"11,7",,"95,1",,1,,94,,1,,1,
Isengrainitknt,2788277,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,83,,1,,128,,,,"104,1",,7,,"87,9",,1,,6,
EM01023itkt,2788260,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,treated,2003,94,,1,,140,,"11,6",,"92,7",,1,,"91,6",,1,,1,
CF01216itkt,2788209,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,1,,135,,"10,4",,"100,7",,1,,"99,6",,1,,3,
CF01196itkfi,2788204,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,90,,1,,139,,"11,2",,"90,9",,7,,"80,1",,1,,,
EM01216itkt,2788242,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2003,78,,1,,140,,"10,5",,"95,7",,1,,"94,6",,1,,1,
EM01328itknt,2788238,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,81,,1,,143,,,,"87,1",,3,,"73,5",,4,,7,
EM01216itknt,2788241,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,80,,1,,138,,,,"102,8",,4,,"86,7",,1,,6,
EM01216itkfi,2788240,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,1,,134,,"10,3",,"96,2",,5,,"84,8",,1,,,
EM01024itknt,2788214,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,138,,,,"99,9",,6,,"84,3",,3,,6,
CF01085itkt,2788251,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,1,,138,,11,,"99,6",,1,,"98,4",,1,,1,
CF01196itknt,2788205,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,91,,1,,140,,,,"93,9",,3,,"79,2",,1,,7,
CF01196itkt,2788206,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,1,,141,,"10,9",,"89,4",,1,,"88,3",,1,,1,
DI02008itkt,2788257,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,1,,140,,"10,8",,"94,1",,1,,93,,1,,1,
DI02006itknt,2788247,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,139,,,,"101,3",,1,,"85,5",,1,,7,
CF00060itknt,2788202,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,81,,1,,137,,,,"91,1",,1,,"76,9",,5,,7,
DI02006itkfi,2788246,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,94,,1,,138,,"9,8",,"101,2",,3,,"89,2",,1,,,
CF01085itknt,2788250,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,1,,139,,,,"110,9",,5,,"93,6",,6,,5,
DI02006itkt,2788248,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,1,,139,,"10,3",,"102,4",,1,,"101,3",,1,,1,
EM01062itkfi,2788216,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,90,,1,,130,,11,,"93,2",,5,,"82,1",,1,,,
EM01024itkt,2788215,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,1,,139,,"10,6",,"88,3",,1,,"87,3",,1,,1,
Isengrainitkt,2788278,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,1,,128,,"9,7",,"102,6",,1,,"101,4",,1,,1,
CF01085itkfi,2788249,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,1,,136,,10,,"100,7",,7,,"88,7",,6,,,
EM01150itkfi,2788282,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,90,,1,,141,,11,,"100,6",,4,,"88,6",,3,,,
EM01150itkt,2788284,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2003,86,,1,,142,,"10,8",,91,,1,,"89,9",,1,,1,
Isengrainitkfi,2788276,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,1,,133,,"9,2",,"106,3",,6,,"93,7",,1,,,
EM01150itknt,2788283,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,1,,142,,,,"106,3",,4,,"89,8",,3,,5,
EM01062itknt,2788217,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,130,,,,"102,4",,3,,"86,5",,3,,6,
RE01037itkt,2788200,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,treated,2003,84,,1,,138,,"11,7",,"91,5",,1,,"90,5",,1,,1,
EM01062itkt,2788218,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,1,,133,,"10,6",,"89,6",,1,,"88,6",,1,,1,
DI02001itkt,2788245,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,1,,138,,11,,"99,5",,1,,"98,4",,1,,3,
CF00060itkfi,2788201,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,94,,1,,133,,"11,3",,"96,6",,1,,"85,1",,2,,,
EM01288itkfi,2788288,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,100,,1,,138,,"11,8",,"95,6",,1,,"84,2",,1,,,
EM01288itkt,2788290,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2003,91,,1,,140,,"11,8",,"85,1",,1,,"84,1",,1,,1,
EM01288itknt,2788289,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,1,,139,,,,"92,8",,2,,"78,3",,1,,4,
EM01214itkt,2788194,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2003,73,,3,,124,,"10,6",,"107,4",,1,,"106,2",,1,,3,
EM01214itknt,2788193,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,73,,1,,125,,,,"107,9",,2,,91,,1,,8,
DI02001itkfi,2788243,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,95,,1,,137,,"11,2",,"97,1",,3,,"85,6",,3,,,
RE01037itkfi,2788198,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,90,,1,,133,,"10,6",,88,,1,,"77,6",,1,,,
EM01214itkfi,2788192,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,85,,4,,127,,"10,3",,"106,4",,3,,"93,8",,3,,,
DI02021itkt,2788266,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,1,,139,,11,,"100,4",,1,,"99,2",,1,,1,
CF01216itknt,2788208,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,85,,1,,133,,,,"102,4",,6,,"86,4",,1,,8,
CF01184itkt,2788272,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2003,81,,1,,138,,"11,6",,"87,5",,1,,"86,5",,1,,1,
CF01184itknt,2788271,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,80,,1,,139,,,,94,,1,,"79,4",,4,,6,
DI02001itknt,2788244,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,1,,138,,,,"108,3",,4,,"91,4",,4,,4,
EM01271itkt,2788224,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2003,93,,1,,140,,"10,7",,"98,1",,1,,97,,1,,1,
EM01271itknt,2788223,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,95,,3,,140,,,,"104,2",,4,,88,,4,,4,
EM01271itkfi,2788222,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,103,,3,,138,,10,,"101,8",,3,,"89,7",,6,,,
CF01184itkfi,2788270,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,88,,1,,138,,"11,4",,"91,6",,3,,"80,7",,3,,,
RE01037itknt,2788199,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,78,,1,,138,,,,"92,2",,4,,"77,8",,2,,8,
RE01086itkt,2788281,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,1,,128,,11,,"105,7",,1,,"104,4",,1,,1,
EM01325itknt,2788226,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,80,,1,,138,,,,"86,9",,5,,"73,3",,3,,7,
DI02032itkt,2788197,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2003,86,,1,,140,,"11,2",,98,,1,,"96,9",,1,,1,
CF01216itkfi,2788207,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,90,,1,,132,,"10,4",,"96,1",,4,,"84,6",,1,,,
RE01086itknt,2788280,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,88,,1,,128,,,,"105,2",,6,,"88,8",,1,,5,
RE01086itkfi,2788279,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,85,,1,,130,,"9,9",,"97,9",,4,,"86,3",,3,,,
EM01325itkfi,2788225,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,4,,133,,"11,1",,"94,2",,4,,83,,6,,,
RE02101itkfi,2788267,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,93,,1,,141,,10,,"105,1",,2,,"92,6",,3,,,
Chargeritknt,2788253,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,76,,1,,138,,,,"95,7",,5,,"80,8",,4,,6,
CF01043itkt,2788275,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,treated,2003,82,,1,,138,,"12,2",,"98,4",,1,,"97,3",,1,,1,
CF01043itknt,2788274,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,78,,1,,138,,,,"97,3",,1,,"82,1",,1,,8,
DI02032itknt,2788196,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,86,,1,,140,,,,"97,7",,3,,"82,4",,4,,6,
CF01043itkfi,2788273,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,83,,1,,134,,"10,8",,"86,8",,1,,"76,5",,1,,,
DI02032itkfi,2788195,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,89,,1,,140,,"11,2",,"93,9",,1,,"82,8",,1,,,
RE02101itkt,2788269,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2003,88,,1,,143,,"10,5",,"104,5",,1,,"103,3",,1,,1,
Chargeritkt,2788254,BTH_Rennes_2003_SetA2,BTH_Rennes_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,75,,1,,138,,"9,6",,"100,5",,1,,"99,4",,1,,3,
