observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI13005itkt,2878321,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,treated,2013,147,,78,,"88,5",,"96,4",,3,
RE12080itkt,2878339,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,treated,2013,140,,"75,5",,94,,"102,3",,2,
AO13028itkt,2878317,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61053,https://doi.org/10.15454/MLAKF0,AO13028,VIRTUAL_TRIAL,,,,,,,,treated,2013,140,,80,,"93,8",,"102,2",,1,
CF12307itkt,2878325,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61676,https://doi.org/10.15454/KFG2VK,CF12307,VIRTUAL_TRIAL,,,,,,,,treated,2013,137,,79,,"92,2",,"100,4",,3,
DI13006itkt,2878322,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,145,,82,,"94,3",,"102,8",,1,
RE12095itkt,2878346,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61619,https://doi.org/10.15454/JV6VFM,RE12095,VIRTUAL_TRIAL,,,,,,,,treated,2013,136,,81,,"82,6",,90,,2,
RE12068itkt,2878314,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49026,https://doi.org/10.15454/MZDFOJ,RE12068,VIRTUAL_TRIAL,,,,,,,,treated,2013,153,,"81,5",,"79,3",,"86,3",,2,
RE12087itkt,2878323,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61603,https://doi.org/10.15454/P7UTSC,RE12087,VIRTUAL_TRIAL,,,,,,,,treated,2013,141,,78,,"92,4",,"100,6",,1,
CF12278itkt,2878342,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61646,https://doi.org/10.15454/XUD1JH,CF12278,VIRTUAL_TRIAL,,,,,,,,treated,2013,147,,79,,"84,8",,"92,4",,3,
Solehioitkt,2878333,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,27088,https://doi.org/10.15454/E4TDMS,SOLEHIO,VIRTUAL_TRIAL,,,,,,,,treated,2013,134,,83,,"104,2",,"113,5",,2,
AO13027itkt,2878319,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2013,140,,81,,"104,1",,"113,4",,3,
RE12097itkt,2878349,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61633,https://doi.org/10.15454/QMBOQP,RE12097,VIRTUAL_TRIAL,,,,,,,,treated,2013,143,,83,,"84,6",,"92,1",,1,
AO13047itkt,2878324,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,treated,2013,144,,80,,"98,7",,"107,5",,3,
AO13045itkt,2878326,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2013,143,,84,,"94,8",,"103,3",,1,
CF12300itkt,2878330,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61661,https://doi.org/10.15454/6WYD8D,CF12300,VIRTUAL_TRIAL,,,,,,,,treated,2013,130,,83,,"81,7",,89,,3,
Altigoitkt,2878340,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,139,,81,,"101,3",,"110,3",,1,
CF12340itkt,2878315,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,61689,https://doi.org/10.15454/1WJFDJ,CF12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,145,,"81,5",,"90,1",,"98,1",,5,
RE12073itkt,2878337,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,144,,"77,5",,"88,8",,"96,7",,3,
Pakitoitkt,2878328,BTH_Clermont-Ferrand_2013_SetB3,BTH_Clermont-Ferrand_2013_SetB3,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,140,,"80,5",,"103,1",,"112,3",,1,
