observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE12080itknt,2970226,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,148,,,,66.8,,102.8,,1.5,,76.6,,1,,2,
RE12080itkt,2970227,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61587,https://doi.org/10.15454/TNFH4O,RE12080,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,148,,10.8,,72.5,,101.6,,,,83.1,,,,,
AO14001itkt,2970279,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,148,,10.5,,78.2,,98.2,,,,80.3,,,,,
AO14001itknt,2970278,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,147,,,,69.8,,77.1,,1,,57.4,,7,,2,
EM11537itkt,2970205,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,148,,10.3,,76,,99.5,,,,81.4,,,,,
EM11537itknt,2970204,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,148,,,,67.8,,95.3,,2.5,,71,,1,,2,
AO12021-1itkt,2970255,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61776,https://doi.org/10.15454/DB6YVG,AO12021-1,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,145,,11,,72.7,,101.2,,,,82.8,,,,,
AO12021-1itknt,2970254,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61776,https://doi.org/10.15454/DB6YVG,AO12021-1,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,98,,144,,,,66.7,,103.5,,1,,77.1,,1,,3,
AO14005itkt,2970269,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2015,75,,146,,10.8,,73.8,,94.5,,,,77.2,,,,,
AO14005itknt,2970268,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,75,,143,,,,71.1,,94.8,,1.5,,70.6,,1.5,,3.5,
AO13015itkt,2970263,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,148,,10.5,,76.5,,106.5,,,,87,,,,,
AO13015itknt,2970262,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,147,,,,69.8,,98.2,,1.5,,73.2,,1.5,,2,
AO13045itknt,2970236,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,80,,144,,,,66.6,,83.1,,3,,61.9,,1,,4,
AO13045itkt,2970237,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,146,,10.6,,73.4,,90.4,,,,73.9,,,,,
CF09117itkt,2970273,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,146,,12,,75,,92.8,,,,75.9,,,,,
CF09117itknt,2970272,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,145,,,,63,,89.4,,2.5,,66.6,,3,,2.5,
APACHEitkt,2970245,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,143,,10.5,,76.5,,93.3,,,,76.3,,,,,
APACHEitknt,2970244,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,142,,,,68.2,,88.4,,2.5,,65.9,,1,,4,
Bermudeitkt,2970217,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,147,,10.5,,69.8,,97.8,,,,80,,,,,
Bermudeitknt,2970216,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,148,,,,65.6,,95.9,,2,,71.4,,1,,3,
AO13100itkt,2970221,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,76092,https://doi.org/10.15454/MBEFL6,AO13100,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,146,,10.5,,71.5,,103.1,,,,84.3,,,,,
AO13100itknt,2970220,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,76092,https://doi.org/10.15454/MBEFL6,AO13100,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,92,,147,,,,74,,97.2,,1,,72.4,,4,,3,
DI11010itknt,2970274,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,148,,,,71,,92.9,,1.5,,69.2,,4,,2.5,
DI11010itkt,2970275,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,148,,9.7,,79.3,,104.2,,,,85.2,,,,,
CELLULEitkt,2970251,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,144,,10.9,,79.4,,100.4,,,,82.1,,,,,
CELLULEitknt,2970250,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,144,,,,73.8,,99.4,,3,,74.1,,1,,3,
AO11011itkt,2970209,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,traite,2015,78,,150,,10.4,,77,,96.1,,,,78.5,,,,,
AO11011itknt,2970208,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,82,,148,,,,67.9,,96,,1.5,,71.6,,1,,2,
RE10042itknt,2970256,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,152,,,,69.7,,90.3,,1,,67.3,,1,,1,
RE10042itkt,2970257,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,151,,11.1,,78,,92.8,,,,75.8,,,,,
RE11058itkt,2970259,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,146,,10.5,,78.2,,107.3,,,,87.7,,,,,
RE11058itknt,2970258,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,143,,,,69.5,,105.2,,1,,78.4,,1,,2.5,
CROUSTYitknt,2970260,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,95,,146,,,,66.2,,84.4,,2.5,,62.9,,5,,2.5,
CROUSTYitkt,2970261,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,146,,10.5,,71.1,,84.9,,,,69.4,,,,,
Galibieritkt,2970229,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,138,,11.9,,76.8,,77.3,,,,63.2,,,,,
Galibieritknt,2970228,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,98,,137,,,,70.5,,85.9,,5,,64,,1,,2.5,
RUBISKOitkt,2970277,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,144,,9.8,,77,,107.4,,,,87.8,,,,,
RUBISKOitknt,2970276,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,143,,,,68.9,,107.9,,1,,80.4,,1,,3,
AO13026itkt,2970211,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,148,,11.2,,76.6,,95.6,,,,78.2,,,,,
ARKEOSitkt,2970271,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27751,https://doi.org/10.15454/OYNH7Y,ARKEOS,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,142,,10.2,,72.3,,96.3,,,,78.7,,,,,
EM12096itknt,2970202,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,80,,150,,,,67.8,,88.9,,1.5,,66.3,,1,,2,
EM12096itkt,2970203,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,150,,11.8,,75.7,,82.7,,,,67.6,,,,,
EM12231itkt,2970243,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,148,,10.1,,77.7,,103.2,,,,84.3,,,,,
EM12231itknt,2970242,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,146,,,,70.4,,107.5,,1,,80.1,,1,,2,
EM12234itkt,2970241,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,144,,11.2,,76.1,,100.5,,,,82.2,,,,,
EM12234itknt,2970240,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,85,,144,,,,66.2,,100.9,,1,,75.2,,1,,2.5,
RE12002itkt,2970223,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,148,,10.1,,70.8,,98.4,,,,80.4,,,,,
RE12002itknt,2970222,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,95,,148,,,,59,,102,,1.5,,76,,1,,2,
RE12020itknt,2970224,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,146,,,,65.6,,91.1,,1.5,,67.9,,1,,2,
RE12020itkt,2970225,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,146,,12.6,,68.8,,88.4,,,,72.3,,,,,
AO14039itknt,2970248,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,143,,,,68.5,,106.7,,3,,79.5,,1,,3.5,
AO14039itkt,2970249,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60867,https://doi.org/10.15454/WFL1YX,AO14039,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,144,,9.6,,73.5,,105,,,,85.9,,,,,
AO13022itknt,2970246,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,144,,,,69.8,,91.8,,3,,68.4,,3,,3.5,
AO13022itkt,2970247,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,146,,10.9,,71.8,,100.2,,,,81.9,,,,,
AREZZOitkt,2970281,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,142,,10.4,,73.7,,94.4,,,,77.2,,,,,
AREZZOitknt,2970280,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,142,,,,68.1,,96.8,,3.5,,72.1,,1,,4,
AO13030itkt,2970265,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,144,,11,,76,,98.8,,,,80.8,,,,,
AO13030itknt,2970264,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,80,,142,,,,68.8,,105.1,,2,,78.3,,1,,3.5,
AO13047itknt,2970234,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,144,,,,70.7,,100.9,,2,,75.2,,1,,2.5,
AO13047itkt,2970235,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,148,,10.2,,78.2,,106.6,,,,87.1,,,,,
CF12202itkt,2970231,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,144,,10.6,,76.6,,100.2,,,,81.9,,,,,
CF12202itknt,2970230,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,82,,143,,,,66.9,,97.4,,2,,72.6,,1,,2,
DI13002-2itkt,2970213,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,148,,10.6,,75.4,,97.7,,,,79.9,,,,,
DI13002-2itknt,2970212,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49462,https://doi.org/10.15454/9WA3DH,DI13002-2,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,88,,148,,,,70.1,,99.5,,1,,74.2,,1,,3,
DI13003itkt,2970233,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,148,,10.7,,76.7,,95,,,,77.7,,,,,
DI13003itknt,2970232,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,148,,,,69.7,,95.8,,1,,71.4,,1,,2,
DI13005itkt,2970219,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,150,,10,,71.2,,98.1,,,,80.2,,,,,
DI13005itknt,2970218,BTH_Orgeval_2015_SetA1,BTH_Orgeval_2015_SetA1,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,90,,150,,,,63.6,,96,,1,,71.5,,1,,2,
