observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF03050itknt,2799801,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48545,gnpis_pui:holding-921_taxon-4898_accession-48545,CF03050,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"97,7",,96,,1,
CF03050itkt,2799802,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48545,gnpis_pui:holding-921_taxon-4898_accession-48545,CF03050,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"90,7",,"98,9",,1,
EM03085itknt,2799805,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48696,gnpis_pui:holding-921_taxon-4898_accession-48696,EM03085,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"107,8",,"105,8",,1,
EM03085itkt,2799806,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48696,gnpis_pui:holding-921_taxon-4898_accession-48696,EM03085,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,8",,"113,1",,1,
EM03061itknt,2799791,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49443,gnpis_pui:holding-921_taxon-4898_accession-49443,EM03061,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,100,,"98,2",,8,
EM03061itkt,2799792,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49443,gnpis_pui:holding-921_taxon-4898_accession-49443,EM03061,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"107,1",,"116,7",,5,
DI04012itkt,2799812,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,1",,"104,7",,1,
DI04012itknt,2799811,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"101,1",,"99,3",,1,
RE03174itkt,2799786,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,5",,"109,5",,"2,5",
RE03174itknt,2799785,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"102,8",,101,,"7,5",
DI04009itknt,2799867,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"106,7",,"104,8",,3,
DI04009itkt,2799868,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48478,gnpis_pui:holding-921_taxon-4898_accession-48478,DI04009,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"98,4",,"107,3",,1,
CF03388itknt,2799841,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"102,1",,"100,3",,2,
CF03388itkt,2799842,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48582,gnpis_pui:holding-921_taxon-4898_accession-48582,CF03388,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"91,8",,100,,1,
EM03059itkt,2799840,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"102,8",,"112,1",,1,
EM03059itknt,2799839,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"111,9",,"109,9",,1,
Apacheitkt,2799826,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"97,7",,"106,5",,1,
Apacheitknt,2799825,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"94,2",,"92,5",,1,
DI04013itknt,2799809,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"106,8",,"104,9",,1,
DI04013itkt,2799810,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,104,,"113,4",,1,
LM03013itknt,2799819,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"89,5",,"87,9",,9,
LM03013itkt,2799820,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,86,,"93,7",,7,
CF03260itkt,2799822,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"94,1",,"102,6",,1,
CF03260itknt,2799821,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"104,1",,"102,3",,1,
EM03067itkt,2799794,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,9",,"105,7",,2,
EM03067itknt,2799793,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"98,5",,"96,7",,1,
LM03012itknt,2799817,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"97,7",,96,,2,
LM03012itkt,2799818,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,4",,"110,6",,1,
Chargeritknt,2799837,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,102,,"100,2",,1,
Chargeritkt,2799838,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"104,6",,114,,1,
Caphornitkt,2799834,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,7",,"105,4",,1,
Caphornitknt,2799833,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"101,2",,"99,4",,1,
CF03125itkt,2799856,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,9",,110,,1,
CF03125itknt,2799855,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48636,gnpis_pui:holding-921_taxon-4898_accession-48636,CF03125,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"103,5",,"101,6",,1,
RE02072itknt,2799845,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"106,9",,105,,1,
RE02072itkt,2799846,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49136,https://doi.org/10.15454/GVNGUK,RE02072,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,103,,"112,3",,1,
EM03030itkt,2799848,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,8",,"105,5",,1,
EM03030itknt,2799847,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"101,1",,"99,4",,1,
CF03167itkt,2799844,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"94,9",,"103,4",,1,
CF03167itknt,2799843,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"105,6",,"103,7",,"2,5",
CF03102itkt,2799830,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"106,5",,"116,2",,1,
CF03102itknt,2799829,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"111,5",,"109,6",,1,
CF03226itkt,2799824,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"106,8",,"116,4",,1,
CF03226itknt,2799823,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"107,7",,"105,8",,1,
RE03111itknt,2799861,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"107,3",,"105,4",,2,
RE03111itkt,2799862,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,3",,"112,7",,1,
RE03094itkt,2799870,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"109,2",,119,,1,
RE03094itknt,2799869,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,118,,"115,9",,1,
Isengrainitkt,2799860,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,101,,"110,1",,1,
Isengrainitknt,2799859,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"102,6",,"100,8",,1,
EM03028itkt,2799796,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"104,6",,"114,1",,1,
EM03028itknt,2799795,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,104,,"102,1",,1,
EM03041itkt,2799784,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,3",,"110,4",,1,
EM03041itknt,2799783,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"106,4",,"104,5",,1,
LM03015itkt,2799804,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,2",,"104,8",,1,
LM03015itknt,2799803,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"101,6",,"99,8",,2,
LM03014itkt,2799850,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"102,7",,112,,1,
LM03014itknt,2799849,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"112,4",,"110,4",,3,
CF03139itknt,2799797,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"93,5",,"91,8",,1,
CF03139itkt,2799798,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"97,2",,106,,1,
DI04011itkt,2799814,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,97,,"105,8",,1,
DI04011itknt,2799813,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"97,9",,"96,2",,1,
EM03025itkt,2799788,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,5",,"109,6",,1,
EM03025itknt,2799787,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"102,5",,"100,7",,1,
CF03124itkt,2799854,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,9",,"113,3",,1,
CF03124itknt,2799853,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"111,8",,"109,8",,1,
DI04008itknt,2799865,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"103,3",,"101,5",,1,
DI04008itkt,2799866,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"96,8",,"105,5",,1,
EM03069itkt,2799800,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,7",,"109,8",,1,
EM03069itknt,2799799,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,103,,"101,2",,3,
Oratorioitkt,2799852,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,8",,"109,9",,1,
Oratorioitknt,2799851,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"104,2",,"102,4",,1,
Farandoleitkt,2799836,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"107,4",,"117,1",,1,
Farandoleitknt,2799835,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"107,2",,"105,3",,1,
RE03136itkt,2799864,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,2",,"110,4",,1,
CF03252itknt,2799871,BTH_Orgeval_2004_SetB2,BTH_Orgeval_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"98,8",,97,,2,
