observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO11006itkt,2858615,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61287,https://doi.org/10.15454/IAPJBN,AO11006,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,132,,"9,27",,"103,2",,,,"113,6",,,,,
RE10042itkt,2858653,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,95,,135,,"9,16",,"96,8",,,,"106,6",,,,,
Bermudeitkfi,2858586,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,133,,"8,55",,"94,5",,4,,"83,5",,1,,1,
CF10044itkt,2858583,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61910,https://doi.org/10.15454/6ALI6N,CF10044,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,137,,"9,59",,96,,,,"105,7",,,,,
Altigoitkt,2858623,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,88,,131,,"9,55",,"104,5",,,,115,,,,,
EM10073itkfi,2858656,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61430,https://doi.org/10.15454/D1HODW,EM10073,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,96,,135,,"8,8",,"83,7",,2,,74,,1,,1,
EM10073itkt,2858657,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61430,https://doi.org/10.15454/D1HODW,EM10073,VIRTUAL_TRIAL,,,,,,,,treated,2011,98,,137,,"9,1",,"89,3",,,,"98,3",,,,,
DI11001itkt,2858613,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60768,https://doi.org/10.15454/65LNUJ,DI11001,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,134,,"8,94",,"98,4",,,,"108,3",,,,,
CF10044itkfi,2858582,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61910,https://doi.org/10.15454/6ALI6N,CF10044,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,137,,"8,69",,94,,2,,"83,1",,1,,1,
Altigoitkfi,2858622,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,130,,"8,68",,"102,9",,3,,91,,1,,1,
CF10042itkt,2858585,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,95,,136,,"9,28",,"100,7",,,,"110,9",,,,,
EM10126itkfi,2858602,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"8,16",,"103,4",,"1,5",,"91,4",,1,,1,
AO11001itkfi,2858626,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,132,,"7,44",,"93,7",,8,,"82,8",,"1,5",,1,
CF10042itkfi,2858584,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,96,,133,,"8,16",,"96,9",,"3,5",,"85,6",,1,,1,
EM10126itkt,2858603,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,132,,"9,41",,"92,1",,,,"101,3",,,,,
DI11001itkfi,2858612,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60768,https://doi.org/10.15454/65LNUJ,DI11001,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,133,,"8,61",,"86,1",,1,,"76,1",,3,,1,
RE10039itkt,2858617,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2011,100,,136,,"10,8",,"98,3",,,,"108,2",,,,,
EM10200itkt,2858597,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61465,https://doi.org/10.15454/ZSWLMK,EM10200,VIRTUAL_TRIAL,,,,,,,,treated,2011,94,,137,,"10,05",,"89,9",,,,99,,,,,
EM10200itkfi,2858596,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61465,https://doi.org/10.15454/ZSWLMK,EM10200,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,134,,"8,6",,"88,1",,"2,5",,"77,8",,1,,1,
RE10039itkfi,2858616,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,97,,132,,"9,45",,"96,8",,1,,"85,6",,1,,1,
DI11005itkfi,2858606,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60836,https://doi.org/10.15454/5MVGNV,DI11005,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,134,,"8,1",,"94,6",,1,,"83,6",,1,,1,
AO11002itkfi,2858644,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,132,,"9,34",,103,,4,,91,,1,,1,
Premioitkfi,2858580,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,129,,"9,44",,"99,1",,1,,"87,6",,1,,1,
CF10049itkfi,2858588,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61926,https://doi.org/10.15454/MF4LV7,CF10049,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,134,,"8,38",,"94,3",,3,,"83,3",,1,,1,
CF10049itkt,2858589,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61926,https://doi.org/10.15454/MF4LV7,CF10049,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,136,,"9,57",,"93,1",,,,"102,5",,,,,
EM10207itkfi,2858598,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61482,https://doi.org/10.15454/JRYQUW,EM10207,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,96,,128,,"9,42",,"96,1",,"2,5",,"84,9",,1,,"1,5",
EM10207itkt,2858599,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61482,https://doi.org/10.15454/JRYQUW,EM10207,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,128,,"10,04",,"91,5",,,,"100,8",,,,,
AO11001itkt,2858627,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,48474,https://doi.org/10.15454/72RLFQ,AO11001,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,134,,"9,28",,102,,,,"112,2",,,,,
DI11007itkfi,2858638,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60869,https://doi.org/10.15454/9MOW8S,DI11007,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,81,,135,,"9,28",,97,,1,,"85,7",,1,,1,
DI11007itkt,2858639,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60869,https://doi.org/10.15454/9MOW8S,DI11007,VIRTUAL_TRIAL,,,,,,,,treated,2011,87,,137,,"10,24",,"89,4",,,,"98,4",,,,,
EM10241itkfi,2858630,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61497,https://doi.org/10.15454/QKODQJ,EM10241,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,134,,"8,68",,"87,1",,8,,77,,1,,1,
Premioitkt,2858581,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,85,,130,,"9,59",,97,,,,"106,8",,,,,
EM10241itkt,2858631,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61497,https://doi.org/10.15454/QKODQJ,EM10241,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,136,,"9,62",,"92,5",,,,"101,9",,,,,
AO11002itkt,2858645,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,134,,"9,64",,"103,2",,,,"113,6",,,,,
DI11005itkt,2858607,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60836,https://doi.org/10.15454/5MVGNV,DI11005,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,136,,"9,12",,"94,5",,,,104,,,,,
RE10023itkfi,2858654,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61762,https://doi.org/10.15454/8GWGBG,RE10023,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,104,,139,,"9,26",,"100,3",,1,,"88,6",,1,,"2,5",
RE10023itkt,2858655,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61762,https://doi.org/10.15454/8GWGBG,RE10023,VIRTUAL_TRIAL,,,,,,,,treated,2011,98,,140,,"9,86",,"88,1",,,,97,,,,,
DI11003itkfi,2858610,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60803,https://doi.org/10.15454/MGXCTF,DI11003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,133,,"8,78",,"97,1",,2,,"85,8",,1,,1,
Apacheitkfi,2858600,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,129,,"8,89",,"103,5",,3,,"91,4",,1,,1,
AO11003itkt,2858629,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61239,https://doi.org/10.15454/0PMNJ1,AO11003,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,136,,"10,54",,"98,6",,,,"108,5",,,,,
Apacheitkt,2858601,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,130,,"9,34",,"98,1",,,,108,,,,,
RE10016itkfi,2858594,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61745,https://doi.org/10.15454/AARTBC,RE10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,91,,135,,"8,68",,"91,4",,4,,"80,8",,1,,1,
AO11003itkfi,2858628,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61239,https://doi.org/10.15454/0PMNJ1,AO11003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,134,,"9,39",,"83,2",,7,,"73,6",,1,,1,
DI11003itkt,2858611,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60803,https://doi.org/10.15454/MGXCTF,DI11003,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,138,,"9,6",,"95,5",,,,"105,1",,,,,
RE10016itkt,2858595,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61745,https://doi.org/10.15454/AARTBC,RE10016,VIRTUAL_TRIAL,,,,,,,,treated,2011,95,,138,,"9,75",,"86,5",,,,"95,2",,,,,
RE10043itkfi,2858632,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61835,https://doi.org/10.15454/AIL0TR,RE10043,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,91,,135,,"8,78",,"97,1",,2,,"85,8",,1,,1,
CF10004itkfi,2858590,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61819,https://doi.org/10.15454/I9UAH6,CF10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,134,,"8,56",,"94,3",,7,,"83,3",,1,,1,
RE10043itkt,2858633,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61835,https://doi.org/10.15454/AIL0TR,RE10043,VIRTUAL_TRIAL,,,,,,,,treated,2011,91,,136,,"9,76",,"94,9",,,,"104,5",,,,,
AO11005itkt,2858619,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,treated,2011,79,,133,,"9,23",,"106,6",,,,"117,3",,,,,
DI11006itkfi,2858634,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60853,https://doi.org/10.15454/XG0SIN,DI11006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,136,,"9,41",,"98,2",,"2,5",,"86,8",,1,,1,
CF10004itkt,2858591,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61819,https://doi.org/10.15454/I9UAH6,CF10004,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,136,,"10,42",,"96,7",,,,"106,4",,,,,
Attlassitkfi,2858650,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,89,,132,,"9,34",,"94,7",,"1,5",,"83,7",,1,,1,
AO11005itkfi,2858618,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,49011,https://doi.org/10.15454/08Z5FH,AO11005,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,76,,131,,"8,33",,96,,2,,"84,8",,1,,1,
Barokitkt,2858579,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,133,,"9,75",,"94,4",,,,104,,,,,
RE10029itkfi,2858648,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61778,https://doi.org/10.15454/SF5TC7,RE10029,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,98,,138,,9,,"96,4",,1,,"85,2",,1,,"1,5",
RE10029itkt,2858649,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61778,https://doi.org/10.15454/SF5TC7,RE10029,VIRTUAL_TRIAL,,,,,,,,treated,2011,105,,137,,"9,83",,"88,3",,,,"97,2",,,,,
Barokitkfi,2858578,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,132,,"8,41",,"102,6",,5,,"90,6",,1,,1,
Attlassitkt,2858651,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2011,89,,133,,"10,16",,"88,2",,,,"97,1",,,,,
Bermudeitkt,2858587,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,86,,134,,"9,66",,"100,4",,,,"110,5",,,,,
RE10049itkt,2858643,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61852,https://doi.org/10.15454/XFAO7S,RE10049,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,136,,"9,3",,"86,8",,,,"95,6",,,,,
DI11002itkfi,2858608,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,132,,"8,32",,"98,5",,2,,87,,1,,1,
DI11002itkt,2858609,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2011,91,,134,,"9,08",,"101,8",,,,"112,1",,,,,
RE10049itkfi,2858642,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61852,https://doi.org/10.15454/XFAO7S,RE10049,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,134,,"8,68",,"91,2",,"2,5",,"80,6",,1,,1,
DI11006itkt,2858635,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60853,https://doi.org/10.15454/XG0SIN,DI11006,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,136,,"9,8",,"96,5",,,,"106,3",,,,,
DI11004itkfi,2858604,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,60820,https://doi.org/10.15454/ARVEL8,DI11004,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,137,,"8,69",,"96,5",,"3,5",,"85,3",,1,,1,
CF10039itkfi,2858624,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61867,https://doi.org/10.15454/4DSGY4,CF10039,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,133,,"9,16",,"81,2",,"4,5",,"71,8",,1,,1,
CF10016itkt,2858647,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,61850,https://doi.org/10.15454/WEJGW3,CF10016,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,136,,"10,07",,"95,9",,,,"105,5",,,,,
RE10042itkfi,2858652,BTH_Le_Moulon_2011_SetB1,BTH_Le_Moulon_2011_SetB1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,134,,"8,47",,"98,2",,"1,5",,"86,8",,1,,1,
