observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO09014itkt,2844311,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,2009,24,,117,,97,,39,,82,,218,,48,,"0,41",,181,,22,,NA,,"11,1",,"77,8",,1413,,NA,
CF07002itkt,2844326,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2009,"23,9",,116,,100,,78,,77,,255,,86,,"0,75",,300,,76,,411,,"13,5",,NA,,1630,,55,
CF05162itkt,2844298,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2009,"18,8",,72,,100,,82,,91,,273,,112,,"1,58",,268,,65,,420,,"12,2",,NA,,1630,,47,
AO09015itkt,2844310,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27897,https://doi.org/10.15454/QWJPTN,AO09015,VIRTUAL_TRIAL,,,,,,,,2009,"22,7",,105,,100,,70,,93,,263,,71,,"0,68",,242,,75,,NA,,"11,4",,"77,6",,1595,,NA,
DI09006itkt,2844280,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,2009,"28,2",,162,,85,,37,,67,,189,,33,,"0,2",,114,,14,,NA,,"11,2",,"74,5",,1530,,NA,
CF07018itkt,2844303,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2009,"21,2",,91,,100,,68,,83,,251,,98,,"1,08",,305,,60,,447,,"12,8",,NA,,1568,,56,
RE07019itkt,2844288,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2009,"19,7",,79,,100,,72,,83,,255,,101,,"1,29",,313,,54,,365,,"12,3",,NA,,1520,,40,
RE07093itkt,2844317,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2009,"19,4",,76,,100,,62,,80,,242,,66,,"0,87",,210,,23,,334,,"12,8",,NA,,1585,,37,
RE08030itkt,2844308,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,2009,"27,6",,155,,100,,75,,87,,262,,47,,"0,3",,200,,73,,NA,,12,,"80,7",,1613,,NA,
Hendrixitkt,2844279,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2009,22,,98,,100,,37,,81,,218,,101,,"1,03",,334,,56,,416,,"12,6",,"80,7",,1568,,61,
Folkloritkt,2844282,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2009,"18,5",,69,,100,,67,,79,,246,,97,,"1,41",,252,,58,,388,,"10,7",,NA,,1528,,36,
RE07040itkt,2844321,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2009,"20,3",,84,,100,,61,,74,,235,,54,,"0,65",,187,,21,,384,,"12,2",,NA,,1438,,29,
EM08019itkt,2844314,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,2009,"24,7",,124,,94,,63,,86,,243,,48,,"0,39",,154,,64,,NA,,"11,1",,"75,1",,1678,,NA,
Apacheitkt,2844301,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,"23,9",,116,,91,,53,,73,,217,,70,,"0,61",,253,,NA,,422,,"12,9",,"75,5",,1695,,46,
CF07022itkt,2844325,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2009,"23,9",,116,,100,,66,,88,,254,,76,,"0,66",,290,,50,,403,,"12,6",,NA,,1513,,47,
Skerzzoitkt,2844320,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2009,29,,171,,100,,48,,73,,221,,65,,"0,38",,300,,57,,386,,"13,8",,NA,,1433,,60,
Toisondoritkt,2844281,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2009,"12,6",,32,,100,,8,,51,,159,,63,,"1,97",,93,,49,,391,,11,,NA,,890,,34,
Flamenkoitkt,2844309,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2009,"19,5",,77,,100,,77,,97,,274,,90,,"1,17",,246,,61,,353,,"10,8",,NA,,1490,,36,
Lyrikitkt,2844330,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2009,"17,9",,65,,85,,16,,65,,166,,108,,"1,66",,279,,NA,,398,,"12,1",,"79,3",,1458,,45,
Musikitkt,2844290,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2009,"18,8",,72,,100,,73,,80,,253,,100,,"1,41",,258,,47,,392,,"11,2",,NA,,1595,,39,
Karillonitkt,2844322,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2009,"17,2",,60,,100,,68,,87,,255,,77,,"1,28",,164,,63,,389,,"9,7",,NA,,1378,,29,
Ghaytaitkt,2844319,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2009,"24,6",,123,,NA,,NA,,NA,,NA,,104,,"0,85",,411,,66,,414,,"14,4",,NA,,NA,,66,
Grapeliitkt,2844292,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2009,"17,1",,59,,100,,60,,67,,226,,67,,"1,14",,160,,21,,372,,"11,8",,NA,,1360,,30,
CF08027itkt,2844333,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2009,"20,9",,89,,97,,77,,97,,271,,51,,"0,58",,154,,51,,NA,,"9,7",,"76,1",,1570,,NA,
Caphornitkt,2844307,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,"17,5",,62,,100,,83,,82,,265,,99,,"1,6",,245,,NA,,344,,"12,4",,76,,1828,,53,
EM08024itkt,2844299,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,2009,"24,2",,119,,94,,68,,97,,259,,65,,"0,55",,217,,76,,NA,,"10,8",,"77,3",,1675,,NA,
EM08277itkt,2844312,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27824,https://doi.org/10.15454/OUS6AU,EM08277,VIRTUAL_TRIAL,,,,,,,,2009,"22,6",,104,,94,,66,,85,,245,,77,,"0,74",,255,,55,,NA,,"12,1",,"77,5",,1625,,NA,
CF08021itkt,2844328,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,2009,"30,2",,185,,100,,78,,94,,272,,39,,"0,21",,171,,67,,NA,,"11,3",,"76,6",,1648,,NA,
RE07095itkt,2844304,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,2009,"19,3",,76,,100,,72,,77,,249,,124,,"1,65",,380,,33,,402,,13,,NA,,1613,,59,
CF07143itkt,2844315,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,2009,31,,195,,94,,21,,90,,205,,53,,"0,27",,242,,60,,325,,13,,NA,,1688,,46,
DI09016itkt,2844332,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,2009,"16,3",,54,,97,,54,,86,,237,,113,,"2,11",,241,,67,,NA,,11,,"76,3",,1505,,NA,
CF08106itkt,2844331,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27311,https://doi.org/10.15454/4DNWV7,CF08106,VIRTUAL_TRIAL,,,,,,,,2009,24,,117,,100,,67,,94,,261,,68,,"0,58",,216,,62,,NA,,"11,8",,"78,3",,1685,,NA,
CF08137itkt,2844294,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,2009,"23,9",,116,,100,,81,,94,,275,,69,,"0,6",,280,,51,,NA,,"11,6",,"76,5",,1840,,NA,
EM08223itkt,2844318,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,2009,"27,9",,158,,85,,24,,43,,152,,29,,"0,18",,95,,18,,NA,,"11,4",,"74,5",,1530,,NA,
CF08049itkt,2844327,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,2009,"25,3",,130,,100,,81,,93,,274,,56,,"0,43",,213,,61,,NA,,"10,9",,"76,6",,1730,,NA,
CF08084itkt,2844313,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,2009,"26,1",,138,,100,,64,,67,,231,,41,,"0,29",,135,,64,,NA,,"11,2",,"77,4",,1625,,NA,
EM07117itkt,2844291,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,2009,"18,2",,67,,100,,68,,78,,246,,81,,"1,21",,203,,22,,356,,"12,2",,NA,,1598,,35,
Soissonsitkt,2844323,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2009,21,,89,,88,,56,,78,,222,,78,,"0,88",,270,,NA,,373,,"11,7",,"78,7",,1643,,38,
CF08029itkt,2844296,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,2009,"19,1",,74,,91,,29,,85,,205,,95,,"1,28",,269,,74,,NA,,"11,6",,"78,5",,1290,,NA,
DI09005itkt,2844305,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,2009,"24,6",,123,,91,,75,,87,,253,,67,,"0,55",,272,,35,,NA,,11,,"74,3",,1693,,NA,
DI09018itkt,2844284,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,2009,"20,9",,89,,88,,34,,86,,208,,87,,"0,98",,275,,54,,NA,,"12,3",,"74,3",,1420,,NA,
CF08109itkt,2844324,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,2009,"25,7",,134,,94,,61,,84,,239,,61,,"0,46",,209,,23,,NA,,"11,8",,"78,1",,1693,,NA,
EM06017itkt,2844283,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2009,"19,7",,79,,100,,66,,78,,244,,89,,"1,14",,275,,26,,384,,"12,1",,NA,,1518,,35,
EM08221itkt,2844293,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,2009,"29,1",,172,,85,,11,,43,,139,,22,,"0,13",,77,,8,,NA,,"11,5",,"71,4",,1425,,NA,
DI09023itkt,2844295,BTH_Orgeval_2009_TECH,BTH_Orgeval_2009_TECH,27904,https://doi.org/10.15454/ICRTTK,DI09023,VIRTUAL_TRIAL,,,,,,,,2009,"23,6",,113,,94,,24,,82,,200,,69,,"0,61",,282,,12,,NA,,12,,"78,8",,1320,,NA,
