observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE07004itknt,2840269,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,94,,"41,2",,132,,,,"74,2",,"100,7",,"69,6",,1,,"4,5",,"1,5",
Sankaraitkfi,2840250,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"33,6",,140,,"11,09",,"73,2",,100,,"71,6",,1,,,,1,
DI08011itkt,2840279,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"43,9",,136,,"10,88",,"77,9",,"110,5",,"97,8",,,,,,1,
AO09003itkt,2840201,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,"41,7",,130,,"11,58",,"78,7",,"103,6",,"91,6",,,,,,3,
RE07040itkt,2840282,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,"38,4",,140,,"11,48",,"78,4",,105,,"92,9",,,,,,6,
RE07083itkt,2840297,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2009,96,,"46,9",,132,,"11,61",,"77,1",,97,,"85,8",,,,,,"4,5",
RE07040itknt,2840281,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,"33,8",,140,,,,"75,3",,"114,2",,"78,9",,1,,2,,"2,5",
EM07117itknt,2840221,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,105,,"38,5",,142,,,,"77,6",,"122,1",,"84,3",,1,,2,,1,
RE07083itknt,2840296,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,"35,7",,132,,,,"70,1",,"108,5",,"74,9",,1,,"4,5",,1,
AO09012itkfi,2840259,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,49365,https://doi.org/10.15454/BQSLNQ,AO09012,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"41,5",,132,,"11,4",,"72,4",,"99,2",,"71,1",,1,,,,1,
RE07083itkfi,2840295,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,"38,9",,135,,"11,76",,"72,1",,"84,5",,"60,6",,1,,,,2,
CF07021itkfi,2840190,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,91,,"47,3",,142,,"11,44",,"78,1",,"118,9",,"85,2",,1,,,,1,
RE07025itkt,2840273,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"46,3",,139,,"12,27",,"77,3",,"92,7",,82,,,,,,"1,5",
RE07025itkfi,2840271,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"43,1",,141,,"11,56",,"74,6",,"102,3",,"73,3",,1,,,,1,
AO09012itkt,2840261,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,49365,https://doi.org/10.15454/BQSLNQ,AO09012,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"40,5",,131,,"10,89",,"76,9",,"97,6",,"86,3",,,,,,"1,5",
CF07021itknt,2840191,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,"45,6",,142,,,,"78,6",,"120,7",,"83,4",,1,,"1,5",,1,
EM07117itkfi,2840220,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,101,,"37,1",,142,,"10,2",,"76,6",,"114,5",,82,,1,,,,1,
RE07025itknt,2840272,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,98,,"41,8",,138,,,,"74,2",,"118,1",,"81,6",,1,,"4,5",,1,
CF07021itkt,2840192,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2009,94,,"48,8",,142,,"11,36",,"80,1",,"102,8",,"90,9",,,,,,1,
Premioitkt,2840183,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"44,5",,137,,"10,86",,"76,1",,"110,4",,"97,7",,,,,,1,
AO09001itkt,2840195,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27770,https://doi.org/10.15454/1LC9E6,AO09001,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"39,6",,143,,"11,02",,"72,9",,"88,7",,"78,5",,,,,,"2,5",
AO09006itknt,2840209,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,85,,"37,5",,132,,,,"72,8",,"113,5",,"78,4",,"3,5",,"3,5",,1,
AO09009itkt,2840186,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"42,3",,133,,"11,2",,"78,4",,94,,"83,1",,,,,,"1,5",
AO09009itknt,2840185,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"33,1",,134,,,,"72,4",,91,,"62,9",,1,,7,,3,
Premioitknt,2840182,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,85,,"31,4",,136,,,,69,,"107,9",,"74,5",,1,,"6,5",,4,
AO09009itkfi,2840184,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27778,https://doi.org/10.15454/H1V79U,AO09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,"36,5",,137,,"10,76",,"73,9",,"91,8",,"65,8",,2,,,,1,
AO09012itknt,2840260,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,49365,https://doi.org/10.15454/BQSLNQ,AO09012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"34,9",,130,,,,"72,4",,"98,5",,"68,1",,1,,7,,"5,5",
CF07267itknt,2840284,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,"42,9",,138,,,,"76,1",,"120,9",,"83,5",,1,,3,,"2,5",
CF07267itkt,2840285,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"49,3",,136,,"10,84",,"78,6",,"105,6",,"93,4",,,,,,5,
AO09001itknt,2840194,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27770,https://doi.org/10.15454/1LC9E6,AO09001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,91,,"34,9",,140,,,,"66,8",,"99,7",,"68,8",,1,,"5,5",,"5,5",
AO09001itkfi,2840193,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27770,https://doi.org/10.15454/1LC9E6,AO09001,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"36,9",,142,,"10,7",,"69,3",,"87,5",,"62,7",,2,,,,1,
RE07095itkfi,2840247,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,41,,140,,"10,15",,"73,8",,"107,6",,"77,1",,1,,,,1,
AO09004itkfi,2840202,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27773,https://doi.org/10.15454/VLLBEN,AO09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,91,,"43,5",,136,,"11,23",,"74,6",,119,,"85,3",,1,,,,1,
EM07117itkt,2840222,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2009,105,,"40,1",,142,,"11,07",,79,,"111,2",,"98,3",,,,,,3,
Premioitkfi,2840181,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"40,7",,137,,"10,85",,"73,8",,"118,8",,"85,1",,1,,,,1,
CF07097itkt,2840231,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2009,98,,48,,142,,11,,78,,"108,2",,"95,7",,,,,,1,
CF07097itknt,2840230,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,94,,"44,4",,141,,,,"76,3",,"125,6",,"86,8",,1,,"2,5",,1,
CF07097itkfi,2840229,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,"43,3",,142,,"10,81",,"75,8",,"118,4",,"84,8",,1,,,,1,
AO09004itkt,2840204,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27773,https://doi.org/10.15454/VLLBEN,AO09004,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"47,8",,133,,"11,41",,"76,6",,"111,7",,"98,8",,,,,,"2,5",
AO09011itkt,2840264,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,treated,2009,86,,"37,3",,134,,"11,16",,76,,102,,"90,2",,,,,,"1,5",
CF07193itknt,2840227,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"39,4",,141,,,,"72,2",,"109,3",,"75,5",,1,,3,,1,
Grapeliitknt,2840224,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,108,,"38,8",,141,,,,"77,1",,"129,9",,"89,7",,1,,3,,"1,5",
AO09004itknt,2840203,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27773,https://doi.org/10.15454/VLLBEN,AO09004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,91,,"42,1",,132,,,,"72,7",,"120,1",,83,,2,,3,,"5,5",
RE07095itkt,2840249,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,treated,2009,98,,"46,2",,139,,"10,86",,"77,1",,"108,5",,96,,,,,,"1,5",
AO09011itknt,2840263,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,85,,"32,8",,132,,,,"71,2",,"114,7",,"79,2",,1,,"6,5",,2,
AO09011itkfi,2840262,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27780,https://doi.org/10.15454/RVET6J,AO09011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"41,9",,132,,"10,44",,72,,"109,4",,"78,4",,1,,,,1,
Apacheitknt,2840239,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,34,,136,,,,73,,"96,2",,"66,5",,1,,"6,5",,"1,5",
CF07018itkt,2840246,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,42,,142,,"11,12",,"74,2",,"102,8",,"90,9",,,,,,"1,5",
AO09008itkt,2840216,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"45,5",,130,,"11,14",,"76,1",,98,,"86,7",,,,,,"2,5",
AO09008itknt,2840215,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,"34,7",,130,,,,"69,8",,"101,9",,"70,4",,"2,5",,"5,5",,"6,5",
CF07018itknt,2840245,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"38,2",,142,,,,"71,6",,"127,2",,"87,9",,1,,3,,1,
Apacheitkfi,2840238,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"36,1",,138,,"11,1",,"73,1",,"86,9",,"62,3",,1,,,,1,
AO09008itkfi,2840214,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27777,https://doi.org/10.15454/KBQRVN,AO09008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"38,6",,131,,"10,98",,"71,4",,"104,5",,"74,9",,5,,,,1,
CF07018itkfi,2840244,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,88,,"38,5",,142,,"10,95",,"73,8",,104,,"74,5",,1,,,,1,
Grapeliitkt,2840225,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,108,,"44,1",,141,,"10,98",,"79,1",,"112,6",,"99,6",,,,,,"1,5",
Apacheitkt,2840240,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,"38,7",,136,,"11,44",,"76,2",,98,,"86,7",,,,,,1,
Grapeliitkfi,2840223,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,100,,"38,3",,142,,10,,"76,2",,"112,4",,"80,5",,1,,,,1,
AO09007itkfi,2840187,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,94,,"41,8",,134,,"11,74",,"75,5",,"110,1",,"78,9",,1,,,,1,
RE07095itknt,2840248,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,98,,"42,9",,139,,,,"75,8",,"125,8",,"86,9",,1,,"3,5",,1,
CF07022itkt,2840291,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2009,100,,"47,4",,141,,"10,7",,"80,2",,"110,2",,"97,5",,,,,,"1,5",
RE07114itkfi,2840211,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,40,,139,,"11,42",,"76,9",,117,,"83,9",,1,,,,1,
CF07022itknt,2840290,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,98,,"42,2",,140,,,,"76,6",,"124,6",,86,,1,,1,,1,
AO09007itkt,2840189,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"44,7",,131,,"12,03",,"78,9",,"100,6",,89,,,,,,1,
AO09007itknt,2840188,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,"37,1",,132,,,,"74,4",,"105,7",,73,,1,,5,,"4,5",
AO09006itkt,2840210,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"45,2",,132,,"11,18",,"77,6",,"107,6",,"95,2",,,,,,1,
CF07143itkt,2840258,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2009,102,,"49,7",,141,,"11,26",,"78,8",,"106,4",,"94,1",,,,,,"3,5",
RE07089itkt,2840288,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,treated,2009,94,,"42,9",,136,,"11,68",,"76,6",,"102,8",,"90,9",,,,,,2,
CF07008itkt,2840300,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"48,6",,141,,"11,95",,"78,7",,"101,2",,"89,5",,,,,,1,
CF07008itknt,2840299,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,"43,8",,140,,,,"76,7",,"120,5",,"83,3",,1,,"2,5",,1,
CF07022itkfi,2840289,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,95,,"45,6",,142,,"10,84",,"77,6",,119,,"85,2",,1,,,,1,
AO09006itkfi,2840208,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"38,3",,135,,"10,69",,"72,2",,"109,2",,"78,3",,"4,5",,,,1,
CF07008itkfi,2840298,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"44,5",,140,,"11,7",,"75,8",,"114,7",,"82,2",,1,,,,1,
RE07114itkt,2840213,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"41,5",,138,,"12,08",,"77,2",,"101,1",,"89,4",,,,,,"6,5",
RE07114itknt,2840212,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,"39,4",,138,,,,"73,5",,"109,3",,"75,5",,1,,"2,5",,5,
RE07019itkfi,2840217,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"39,1",,139,,"10,84",,"75,8",,"112,8",,"80,8",,1,,,,1,
AO09010itkfi,2840265,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,90,,"45,3",,131,,"10,64",,"74,8",,"106,1",,76,,1,,,,"1,5",
RE07019itkt,2840219,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"41,8",,138,,"11,22",,"78,1",,"108,7",,"96,1",,,,,,"2,5",
AO09010itkt,2840267,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,treated,2009,95,,"47,7",,130,,"11,62",,"77,4",,"104,4",,"92,4",,,,,,3,
AO09010itknt,2840266,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27779,https://doi.org/10.15454/NTANDH,AO09010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,94,,"43,5",,130,,,,73,,"117,2",,81,,1,,3,,7,
CF07193itkt,2840228,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,treated,2009,91,,51,,142,,"10,86",,"78,4",,"101,3",,"89,6",,,,,,"1,5",
