observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Skerzzoitkfi,2804359,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,8",,97,,"65,3",
Skerzzoitkt,2804360,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2005,87,,146,,"9,32",,"104,2",,80,
Chargeritkt,2804338,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,146,,"8,3",,"95,8",,"73,6",
Chargeritkfi,2804337,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,2",,"100,6",,"67,7",
Caphornitkfi,2804333,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,8",,95,,"63,9",
Caphornitkt,2804334,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,77,,140,,"9,28",,"102,7",,"78,9",
DI04018itkt,2804326,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,77,,146,,"9,09",,"103,2",,"79,3",
DI04018itkfi,2804325,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,25",,"102,5",,69,
DI05030itkfi,2804309,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,7,,"110,3",,"74,2",
DI05030itkt,2804310,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,146,,"8,76",,"105,7",,"81,2",
CF03287itkt,2804348,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,144,,"8,9",,"98,6",,"75,8",
CF03287itkfi,2804347,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,6",,"98,2",,"66,1",
CF03226itkfi,2804321,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,06",,104,,"69,9",
CF03226itkt,2804322,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2005,83,,146,,"8,14",,"101,3",,"77,8",
CF03341itkfi,2804341,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,07",,"102,7",,"69,1",
CF03341itkt,2804342,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,148,,"8,07",,"107,4",,"82,5",
DI04015itkt,2804318,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,treated,2005,76,,140,,"9,28",,"97,5",,"74,9",
DI04015itkfi,2804317,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"8,01",,"95,6",,"64,3",
DI04022itkfi,2804363,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,5",,"96,3",,"64,8",
DI04022itkt,2804364,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,84,,149,,"9,21",,"95,6",,"73,5",
Orvantisitkfi,2804357,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,68",,"106,3",,"71,5",
Orvantisitkt,2804358,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,141,,"8,84",,"101,7",,"78,1",
EM01068itkfi,2804329,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"6,94",,"109,2",,"73,5",
EM01068itkt,2804330,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,149,,"7,96",,"110,1",,"84,6",
EM03028itkt,2804304,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,146,,"9,34",,"101,2",,"77,8",
EM03028itkfi,2804303,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"8,32",,"102,1",,"68,7",
EM03041itkfi,2804301,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,18",,"97,7",,"65,8",
EM03041itkt,2804302,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2005,67,,148,,"8,38",,"95,8",,"73,6",
LM03015itkt,2804354,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2005,73,,141,,"8,43",,"107,1",,"82,3",
LM03015itkfi,2804353,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,07",,"103,7",,"69,8",
LM03014itkt,2804352,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,treated,2005,68,,140,,"8,98",,"88,8",,"68,2",
LM03014itkfi,2804351,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,5",,"91,9",,"61,8",
EM03149itkt,2804320,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,146,,"8,86",,"116,9",,"89,8",
EM03149itkfi,2804319,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"6,5",,"110,1",,"74,1",
CF03342itkt,2804344,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,treated,2005,70,,146,,"8,81",,"96,4",,"74,1",
CF03342itkfi,2804343,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,52",,92,,"61,9",
DI04017itkfi,2804315,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,72",,"109,3",,"73,6",
DI04017itkt,2804316,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,treated,2005,76,,141,,"8,78",,"98,7",,"75,8",
DI04024itkt,2804362,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,treated,2005,77,,146,,"7,98",,"106,6",,"81,9",
DI04024itkfi,2804361,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"6,75",,"103,2",,"69,4",
EM03193itkfi,2804327,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"6,72",,"112,7",,"75,8",
Barokitkfi,2804299,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,53",,"100,9",,"67,9",
DI04019itkfi,2804323,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,3",,"104,8",,"70,6",
DI04019itkt,2804324,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,treated,2005,67,,146,,"8,73",,"104,5",,"80,3",
LM03051itkt,2804332,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,149,,"7,48",,"113,1",,"86,9",
LM03051itkfi,2804331,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"6,64",,"110,9",,"74,6",
EM00107itkt,2804314,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,146,,"8,32",,"119,2",,"91,6",
EM00107itkfi,2804313,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"6,8",,"114,6",,"77,1",
Farandoleitkfi,2804335,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,,,,,"7,48",,"91,9",,"61,8",
Farandoleitkt,2804336,BTH_Clermont-Ferrand_2005_SetA2,BTH_Clermont-Ferrand_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,140,,"9,48",,"104,8",,"80,5",
