observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,Frost susceptibility(CO_321:1000271),Frost susceptibility(CO_321:1000271).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PeduncleExtrusion(WIPO:0000284),PeduncleExtrusion(WIPO:0000284).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,RowType(WIPO:0000285),RowType(WIPO:0000285).date,SeedArea(CO_321:1000144),SeedArea(CO_321:1000144).date,SeedLength(CO_321:1000146),SeedLength(CO_321:1000146).date,SeedWidth(CO_321:1000147),SeedWidth(CO_321:1000147).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
48,3295105,BW2,Barley_Winter_JHI,63251,https://doi.org/10.15454/HGL1IZ,KW Glacier,BLOCK>PLOT,,,,,11,45,"BLOCK>PLOT:48,BLOCK:10",2015,9.25,,2,2015-03-30T02:00:00Z,67.71,2015-09-21T02:00:00Z,219,2015-06-05T02:00:00Z,62.5,,3,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,30,2015-09-21T02:00:00Z,10,2015-09-21T02:00:00Z,4.1,2015-09-21T02:00:00Z,9.5,
49,3294706,BW2,Barley_Winter_JHI,63252,https://doi.org/10.15454/5GXEGH,KW Tower,BLOCK>PLOT,,,,,3,17,"BLOCK>PLOT:49,BLOCK:2",2015,10.5,,2,2015-03-30T02:00:00Z,73.42,2015-10-01T02:00:00Z,224,2015-06-10T02:00:00Z,57.75,,0,,2,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,31.3,2015-10-01T02:00:00Z,9.8,2015-10-01T02:00:00Z,4.3,2015-10-01T02:00:00Z,10.3,
39,3295082,BW2,Barley_Winter_JHI,63252,https://doi.org/10.15454/5GXEGH,KW Tower,BLOCK>PLOT,,,,,2,44,"BLOCK>PLOT:39,BLOCK:9",2015,11.75,,3,2015-03-30T02:00:00Z,79.53,2015-10-08T02:00:00Z,222,2015-06-08T02:00:00Z,64.75,,4,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,34.2,2015-10-08T02:00:00Z,10.7,2015-10-08T02:00:00Z,4.4,2015-10-08T02:00:00Z,10.3,
34,3294684,BW2,Barley_Winter_JHI,63731,https://doi.org/10.15454/DGSXRD,HID114,BLOCK>PLOT,,,,,9,15,"BLOCK>PLOT:34,BLOCK:6",2015,14.5,,5,2015-03-30T02:00:00Z,38.83,2015-12-02T01:00:00Z,219,2015-06-05T02:00:00Z,76.75,,20,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,33.3,2015-12-02T01:00:00Z,14.8,2015-12-02T01:00:00Z,2.9,2015-12-02T01:00:00Z,6,
48,3294712,BW2,Barley_Winter_JHI,63722,https://doi.org/10.15454/NTU3ED,HID55,BLOCK>PLOT,,,,,9,17,"BLOCK>PLOT:48,BLOCK:6",2015,16,,5,2015-03-30T02:00:00Z,49.51,2015-12-02T01:00:00Z,215,2015-06-01T02:00:00Z,75,,17.5,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,35.2,2015-12-02T01:00:00Z,15.1,2015-12-02T01:00:00Z,3.1,2015-12-02T01:00:00Z,8.5,
12,3294901,BW2,Barley_Winter_JHI,63724,https://doi.org/10.15454/RLAHJB,HID65,BLOCK>PLOT,,,,,14,30,"BLOCK>PLOT:12,BLOCK:8",2015,12,,3,2015-03-30T02:00:00Z,33.33,2015-12-02T01:00:00Z,219,2015-06-05T02:00:00Z,70,,28,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,28.5,2015-12-02T01:00:00Z,14,2015-12-02T01:00:00Z,2.7,2015-12-02T01:00:00Z,5.5,
19,3294648,BW2,Barley_Winter_JHI,63726,https://doi.org/10.15454/WIZNP7,HID80,BLOCK>PLOT,,,,,1,13,"BLOCK>PLOT:19,BLOCK:2",2015,10,,2,2015-03-30T02:00:00Z,42.46,2015-12-02T01:00:00Z,208,2015-05-25T02:00:00Z,68.3333333333333,,25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,31.9,2015-12-02T01:00:00Z,13.9,2015-12-02T01:00:00Z,2.9,2015-12-02T01:00:00Z,5.3,
47,3294573,BW2,Barley_Winter_JHI,63727,https://doi.org/10.15454/8KOSGZ,HID99,BLOCK>PLOT,,,,,12,7,"BLOCK>PLOT:47,BLOCK:5",2015,9.5,,3,2015-03-30T02:00:00Z,50.73,2015-12-02T01:00:00Z,219,2015-06-05T02:00:00Z,61.75,,15.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,30.7,2015-12-02T01:00:00Z,12.5,2015-12-02T01:00:00Z,3.4,2015-12-02T01:00:00Z,7.3,
30,3294932,BW2,Barley_Winter_JHI,63728,https://doi.org/10.15454/7WMH7J,HID101,BLOCK>PLOT,,,,,4,33,"BLOCK>PLOT:30,BLOCK:4",2015,12,,6,2015-03-30T02:00:00Z,43.39,2015-12-02T01:00:00Z,208,2015-05-25T02:00:00Z,65,,17.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,34.6,2015-12-02T01:00:00Z,15.2,2015-12-02T01:00:00Z,2.9,2015-12-02T01:00:00Z,5.8,
57,3294590,BW2,Barley_Winter_JHI,63729,https://doi.org/10.15454/1ICTF8,HID102,BLOCK>PLOT,,,,,1,9,"BLOCK>PLOT:57,BLOCK:1",2015,8.25,,4,2015-03-30T02:00:00Z,33.42,2015-12-02T01:00:00Z,222,2015-06-08T02:00:00Z,84.25,,29.5,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,27.9,2015-12-02T01:00:00Z,13.1,2015-12-02T01:00:00Z,2.7,2015-12-02T01:00:00Z,6.5,
63,3294603,BW2,Barley_Winter_JHI,63732,https://doi.org/10.15454/CBJQYX,HID138,BLOCK>PLOT,,,,,14,9,"BLOCK>PLOT:63,BLOCK:5",2015,10.5,,4,2015-03-30T02:00:00Z,30.4,2015-12-02T01:00:00Z,219,2015-06-05T02:00:00Z,82,,17.5,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,25.9,2015-12-02T01:00:00Z,12.8,2015-12-02T01:00:00Z,2.6,2015-12-02T01:00:00Z,8,
51,3294971,BW2,Barley_Winter_JHI,63734,https://doi.org/10.15454/DTJFZZ,HID144,BLOCK>PLOT,,,,,4,36,"BLOCK>PLOT:51,BLOCK:4",2015,,,,,,,,,,,,,0,2015-03-10T01:00:00Z,,,,,,,,,,
19,3294511,BW2,Barley_Winter_JHI,63736,https://doi.org/10.15454/S835AV,HID249,BLOCK>PLOT,,,,,5,3,"BLOCK>PLOT:19,BLOCK:1",2015,10.3333333333333,,3,2015-03-30T02:00:00Z,30.95,2015-12-02T01:00:00Z,222,2015-06-08T02:00:00Z,78,,18,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,25.3,2015-12-02T01:00:00Z,12.9,2015-12-02T01:00:00Z,2.5,2015-12-02T01:00:00Z,8,
23,3294919,BW2,Barley_Winter_JHI,63737,https://doi.org/10.15454/AJTGSW,HID294,BLOCK>PLOT,,,,,4,32,"BLOCK>PLOT:23,BLOCK:4",2015,12.5,,3,2015-03-30T02:00:00Z,35.55,2015-12-02T01:00:00Z,212,2015-05-29T02:00:00Z,88.5,,24.5,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,28.5,2015-12-02T01:00:00Z,13.2,2015-12-02T01:00:00Z,2.8,2015-12-02T01:00:00Z,7.8,
64,3294872,BW2,Barley_Winter_JHI,63738,https://doi.org/10.15454/WFXN7P,HID295,BLOCK>PLOT,,,,,14,28,"BLOCK>PLOT:64,BLOCK:7",2015,,,,,,,,,,,,,0,2015-03-10T01:00:00Z,,,,,,,,,,
25,3294791,BW2,Barley_Winter_JHI,63739,https://doi.org/10.15454/ANY083,HID357,BLOCK>PLOT,,,,,3,23,"BLOCK>PLOT:25,BLOCK:3",2015,16.75,,3,2015-03-30T02:00:00Z,38.7,2015-12-02T01:00:00Z,225,2015-06-11T02:00:00Z,94.5,,26,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,36.1,2015-12-02T01:00:00Z,15.9,2015-12-02T01:00:00Z,3,2015-12-02T01:00:00Z,7.3,
6,3294621,BW2,Barley_Winter_JHI,63280,https://doi.org/10.15454/CZD0RM,HID20A,BLOCK>PLOT,,,,,2,11,"BLOCK>PLOT:6,BLOCK:2",2015,9.75,,3,2015-03-30T02:00:00Z,34.8,2015-12-02T01:00:00Z,210,2015-05-27T02:00:00Z,76,,23.75,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,26.7,2015-12-02T01:00:00Z,12.8,2015-12-02T01:00:00Z,2.7,2015-12-02T01:00:00Z,5.3,
57,3294984,BW2,Barley_Winter_JHI,63281,https://doi.org/10.15454/T9OMFQ,HID58,BLOCK>PLOT,,,,,3,37,"BLOCK>PLOT:57,BLOCK:4",2015,12,,4,2015-03-30T02:00:00Z,,,215,2015-06-01T02:00:00Z,75.5,,28,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,,,,,,,5.5,
19,3294518,BW2,Barley_Winter_JHI,63282,https://doi.org/10.15454/BRXMPM,HID264,BLOCK>PLOT,,,,,12,3,"BLOCK>PLOT:19,BLOCK:5",2015,12.5,,2,2015-03-30T02:00:00Z,42.96,2015-12-02T01:00:00Z,212,2015-05-29T02:00:00Z,67.75,,20.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,34,2015-12-02T01:00:00Z,14.9,2015-12-02T01:00:00Z,3,2015-12-02T01:00:00Z,7,
10,3294770,BW2,Barley_Winter_JHI,63283,https://doi.org/10.15454/N9YMGG,HSI41,BLOCK>PLOT,,,,,9,21,"BLOCK>PLOT:10,BLOCK:7",2015,13.75,,3,2015-03-30T02:00:00Z,42.55,2015-12-02T01:00:00Z,222,2015-06-08T02:00:00Z,90,,26.75,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,35.5,2015-12-02T01:00:00Z,16.2,2015-12-02T01:00:00Z,2.9,2015-12-02T01:00:00Z,8.8,
50,3294707,BW2,Barley_Winter_JHI,63401,https://doi.org/10.15454/LNOVUG,Belford,BLOCK>PLOT,,,,,4,17,"BLOCK>PLOT:50,BLOCK:2",2015,0,,4,2015-03-30T02:00:00Z,50.42,2015-10-01T02:00:00Z,226,2015-06-12T02:00:00Z,65.25,,10.5,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,25,2015-10-01T02:00:00Z,9.1,2015-10-01T02:00:00Z,3.5,2015-10-01T02:00:00Z,7.3,
36,3294548,BW2,Barley_Winter_JHI,63707,https://doi.org/10.15454/5NNKY4,HOR1464,BLOCK>PLOT,,,,,1,6,"BLOCK>PLOT:36,BLOCK:1",2015,10,,3,2015-03-30T02:00:00Z,,,231,2015-06-17T02:00:00Z,63,,0.333333333333333,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,,,,,,,6.7,
5,3294490,BW2,Barley_Winter_JHI,63708,https://doi.org/10.15454/TVCVMM,HOR7321,BLOCK>PLOT,,,,,12,1,"BLOCK>PLOT:5,BLOCK:5",2015,10,,3,2015-03-30T02:00:00Z,45.96,2015-09-30T02:00:00Z,225,2015-06-11T02:00:00Z,54.5,,-4.5,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,20.9,2015-09-30T02:00:00Z,8.1,2015-09-30T02:00:00Z,3.4,2015-09-30T02:00:00Z,8,
1,3294612,BW2,Barley_Winter_JHI,63299,https://doi.org/10.15454/VF1AIA,HOR2573,BLOCK>PLOT,,,,,8,10,"BLOCK>PLOT:1,BLOCK:6",2015,13.6666666666667,,3,2015-03-30T02:00:00Z,50.21,2015-10-08T02:00:00Z,225,2015-06-11T02:00:00Z,57.3333333333333,,3.66666666666667,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,26,2015-10-08T02:00:00Z,9.3,2015-10-08T02:00:00Z,3.6,2015-10-08T02:00:00Z,6.7,
8,3295017,BW2,Barley_Winter_JHI,63317,https://doi.org/10.15454/E7TXP4,HOR6253,BLOCK>PLOT,,,,,6,39,"BLOCK>PLOT:8,BLOCK:9",2015,,,,,,,,,,,,,0,2015-03-10T01:00:00Z,,,,,,,,,,
37,3294687,BW2,Barley_Winter_JHI,63317,https://doi.org/10.15454/E7TXP4,HOR6253,BLOCK>PLOT,,,,,12,15,"BLOCK>PLOT:37,BLOCK:6",2015,15.3333333333333,,3,2015-03-30T02:00:00Z,47.7,2015-10-19T02:00:00Z,222,2015-06-08T02:00:00Z,63,,3.66666666666667,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,27.6,2015-10-19T02:00:00Z,10.7,2015-10-19T02:00:00Z,3.4,2015-10-19T02:00:00Z,5,
31,3295075,BW2,Barley_Winter_JHI,63319,https://doi.org/10.15454/0MQZGO,HOR3536,BLOCK>PLOT,,,,,8,43,"BLOCK>PLOT:31,BLOCK:10",2015,9,,3,2015-03-30T02:00:00Z,54.74,2015-10-19T02:00:00Z,222,2015-06-08T02:00:00Z,66.6666666666667,,6,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,23.3,2015-10-19T02:00:00Z,8,2015-10-19T02:00:00Z,3.7,2015-10-19T02:00:00Z,8.3,
60,3294593,BW2,Barley_Winter_JHI,63319,https://doi.org/10.15454/0MQZGO,HOR3536,BLOCK>PLOT,,,,,4,9,"BLOCK>PLOT:60,BLOCK:1",2015,11.25,,3,2015-03-30T02:00:00Z,60.75,2015-10-19T02:00:00Z,224,2015-06-10T02:00:00Z,62.25,,6.5,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,24.4,2015-10-19T02:00:00Z,8.1,2015-10-19T02:00:00Z,3.9,2015-10-19T02:00:00Z,7.8,
52,3294585,BW2,Barley_Winter_JHI,63326,https://doi.org/10.15454/QBQVDJ,HOR10761,BLOCK>PLOT,,,,,10,8,"BLOCK>PLOT:52,BLOCK:5",2015,12.25,,2,2015-03-30T02:00:00Z,51.41,2015-10-19T02:00:00Z,222,2015-06-08T02:00:00Z,82,,18.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,27.9,2015-10-19T02:00:00Z,10.6,2015-10-19T02:00:00Z,3.5,2015-10-19T02:00:00Z,9.5,
62,3294735,BW2,Barley_Winter_JHI,63308,https://doi.org/10.15454/IIW81P,HOR4031,BLOCK>PLOT,,,,,3,19,"BLOCK>PLOT:62,BLOCK:2",2015,1.33333333333333,,2,2015-03-30T02:00:00Z,53.04,2015-10-01T02:00:00Z,219,2015-06-05T02:00:00Z,83.3333333333333,,20.6666666666667,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,24.2,2015-10-01T02:00:00Z,8.6,2015-10-01T02:00:00Z,3.7,2015-10-01T02:00:00Z,6.3,
36,3294816,BW2,Barley_Winter_JHI,63323,https://doi.org/10.15454/EQF6XO,HOR8658,BLOCK>PLOT,,,,,14,24,"BLOCK>PLOT:36,BLOCK:7",2015,11.25,,2,2015-03-30T02:00:00Z,64.01,2015-10-19T02:00:00Z,217,2015-06-03T02:00:00Z,58.5,,11.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,35,2015-10-19T02:00:00Z,14.7,2015-10-19T02:00:00Z,3.6,2015-10-19T02:00:00Z,8.5,
31,3294804,BW2,Barley_Winter_JHI,63355,https://doi.org/10.15454/2HVRPA,Shayir IG 32973,BLOCK>PLOT,,,,,2,24,"BLOCK>PLOT:31,BLOCK:3",2015,12.75,,3,2015-03-30T02:00:00Z,56.75,2015-10-08T02:00:00Z,208,2015-05-25T02:00:00Z,72.25,,15.5,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,28,2015-10-08T02:00:00Z,10.4,2015-10-08T02:00:00Z,3.7,2015-10-08T02:00:00Z,6,
65,3294879,BW2,Barley_Winter_JHI,63254,https://doi.org/10.15454/SOSSPT,Saffron,BLOCK>PLOT,,,,,6,29,"BLOCK>PLOT:65,BLOCK:3",2015,11,,3,2015-03-30T02:00:00Z,66.3,2015-10-14T02:00:00Z,225,2015-06-11T02:00:00Z,64.5,,5.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,29.7,2015-10-14T02:00:00Z,10.1,2015-10-14T02:00:00Z,3.9,2015-10-14T02:00:00Z,10,
14,3294506,BW2,Barley_Winter_JHI,63286,https://doi.org/10.15454/09YYMB,Istos,BLOCK>PLOT,,,,,14,2,"BLOCK>PLOT:14,BLOCK:5",2015,11.25,,1,2015-03-30T02:00:00Z,64.39,2015-09-30T02:00:00Z,219,2015-06-05T02:00:00Z,60.5,,7.75,,2,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,27.2,2015-09-30T02:00:00Z,9.3,2015-09-30T02:00:00Z,4,2015-09-30T02:00:00Z,9.8,
34,3294941,BW2,Barley_Winter_JHI,63725,https://doi.org/10.15454/VQCVOI,HID69,BLOCK>PLOT,,,,,1,34,"BLOCK>PLOT:34,BLOCK:4",2015,11.5,,6,2015-03-30T02:00:00Z,37.05,2015-12-02T01:00:00Z,210,2015-05-27T02:00:00Z,63.75,,18.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,29.6,2015-12-02T01:00:00Z,14,2015-12-02T01:00:00Z,2.9,2015-12-02T01:00:00Z,4.8,
17,3294913,BW2,Barley_Winter_JHI,63733,https://doi.org/10.15454/IEYOAX,HID140,BLOCK>PLOT,,,,,12,31,"BLOCK>PLOT:17,BLOCK:8",2015,8.25,,3,2015-03-30T02:00:00Z,30.87,2015-12-02T01:00:00Z,201,2015-05-18T02:00:00Z,94.5,,27.5,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,22.4,2015-12-02T01:00:00Z,11.5,2015-12-02T01:00:00Z,2.6,2015-12-02T01:00:00Z,7.3,
29,3294802,BW2,Barley_Winter_JHI,63641,https://doi.org/10.15454/YBKTZH,HOR940,BLOCK>PLOT,,,,,14,23,"BLOCK>PLOT:29,BLOCK:7",2015,9.75,,1,2015-03-30T02:00:00Z,54.61,2015-10-08T02:00:00Z,229,2015-06-15T02:00:00Z,102,,13.75,,2,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,27.6,2015-10-08T02:00:00Z,10.5,2015-10-08T02:00:00Z,3.6,2015-10-08T02:00:00Z,5.3,
24,3294926,BW2,Barley_Winter_JHI,63255,https://doi.org/10.15454/LPRPDX,Joy,BLOCK>PLOT,,,,,12,32,"BLOCK>PLOT:24,BLOCK:8",2015,10,,2,2015-03-30T02:00:00Z,61.68,2015-10-14T02:00:00Z,225,2015-06-11T02:00:00Z,66,,9.5,,2,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,27,2015-10-14T02:00:00Z,9.5,2015-10-14T02:00:00Z,3.9,2015-10-14T02:00:00Z,9.8,
8,3294630,BW2,Barley_Winter_JHI,63256,https://doi.org/10.15454/JWQWPH,Wintmalt,BLOCK>PLOT,,,,,11,11,"BLOCK>PLOT:8,BLOCK:6",2015,12,,2,2015-03-30T02:00:00Z,64.91,2015-10-01T02:00:00Z,231,2015-06-17T02:00:00Z,63,,0.25,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,25.6,2015-10-01T02:00:00Z,8.9,2015-10-01T02:00:00Z,3.9,2015-10-01T02:00:00Z,10.8,
3,3294488,BW2,Barley_Winter_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,10,1,"BLOCK>PLOT:3,BLOCK:5",2015,11,,1,2015-03-30T02:00:00Z,57.47,2015-09-22T02:00:00Z,219,2015-06-05T02:00:00Z,73,,10,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,28.5,2015-09-22T02:00:00Z,10.8,2015-09-22T02:00:00Z,3.7,2015-09-22T02:00:00Z,10.3,
18,3294510,BW2,Barley_Winter_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,4,3,"BLOCK>PLOT:18,BLOCK:1",2015,11.75,,3,2015-03-30T02:00:00Z,59.78,2015-10-08T02:00:00Z,225,2015-06-11T02:00:00Z,48,,-0.75,,1,2015-03-10T01:00:00Z,2,2015-07-06T02:00:00Z,23.2,2015-10-08T02:00:00Z,8,2015-10-08T02:00:00Z,3.9,2015-10-08T02:00:00Z,9.8,
59,3294599,BW2,Barley_Winter_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,10,9,"BLOCK>PLOT:59,BLOCK:5",2015,10.75,,1,2015-03-30T02:00:00Z,58.39,2015-09-30T02:00:00Z,219,2015-06-05T02:00:00Z,67.25,,10,,2,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,26.3,2015-09-30T02:00:00Z,9.6,2015-09-30T02:00:00Z,3.7,2015-09-30T02:00:00Z,8,
55,3294719,BW2,Barley_Winter_JHI,63257,https://doi.org/10.15454/7X6JAS,Meridian,BLOCK>PLOT,,,,,2,18,"BLOCK>PLOT:55,BLOCK:2",2015,11.75,,2,2015-03-30T02:00:00Z,59.87,2015-10-01T02:00:00Z,222,2015-06-08T02:00:00Z,71.5,,9.5,,1,2015-03-10T01:00:00Z,6,2015-07-06T02:00:00Z,26.9,2015-10-01T02:00:00Z,9.9,2015-10-01T02:00:00Z,3.7,2015-10-01T02:00:00Z,7,
